,"DJI","FTSE100","DAX","CAC40","NIKKEI","HSI","BOVESPA","GOLD"
"4 Jan 2016",15944.46,5990.399902,9880.820312,4380.359863,17163.919922,19052.449219,38376,1115
"1 Dec 2015",17425.03,6242.299805,10743.009766,4637.060059,19033.710938,21914.400391,43350,1068.25
"2 Nov 2015",17719.92,6356.100098,11382.230469,4957.600098,19747.470703,21996.419922,45120,1086.44
"1 Oct 2015",17663.54,6361.100098,10850.139648,4897.660156,19083.099609,22640.039062,45869,1159.25
"1 Sep 2015",16284.7,6061.600098,9660.44043,4455.290039,17388.150391,20846.300781,45059,1124.77
"3 Aug 2015",16528.03,6247.899902,10259.459961,4652.950195,18890.480469,21670.580078,46626,1117.93
"1 Jul 2015",17689.86,6696.299805,11308.990234,5082.609863,20585.240234,24636.279297,50865,1128.31
"1 Jun 2015",17619.51,6521,10944.969727,4790.200195,20235.730469,26250.029297,53081,1181.5
"1 May 2015",18010.68,6984.399902,11413.820312,5007.890137,20563.150391,27424.189453,52760,1198.63
"1 Apr 2015",17840.52,6960.600098,11454.379883,5046.490234,19520.009766,28133,56229,1198.93
"2 Mar 2015",17776.12,6773,11966.169922,5033.640137,19206.990234,24900.890625,51150,1178.63
"2 Feb 2015",18132.7,6946.700195,11401.660156,4951.47998,18797.939453,24823.289062,51583,1227.08
"2 Jan 2015",17164.95,6749.399902,10694.320312,4604.25,17674.390625,24507.050781,46908,1250.75
"1 Dec 2014",17823.07,6566.100098,9805.549805,4272.75,17450.769531,23605.039062,50007,1200.62
"3 Nov 2014",17828.24,6722.600098,9980.849609,4390.180176,17459.849609,23987.449219,54664,1175.33
"1 Oct 2014",17390.52,6546.5,9326.870117,4233.089844,16413.759766,23998.060547,54629,1222.49
"2 Sep 2014",17042.9,6622.700195,9474.299805,4416.240234,16173.519531,22932.980469,54116,1236.55
"1 Aug 2014",17098.45,6819.799805,9470.169922,4381.040039,15424.589844,24742.060547,61288,1295.13
"1 Jul 2014",16563.3,6730.100098,9407.480469,4246.140137,15620.769531,24756.849609,55829,1310.59
"2 Jun 2014",16826.6,6743.899902,9833.070312,4422.839844,15162.099609,23190.720703,53168,1277.86
"1 May 2014",16717.17,6844.5,9943.269531,4519.569824,14632.379883,23081.650391,51239,1288.91
"1 Apr 2014",16580.84,6780,9603.230469,4487.390137,14304.110352,22133.970703,51627,1299.17
"3 Mar 2014",16457.66,6598.399902,9555.910156,4391.5,14827.830078,22151.060547,50415,1336.56
"3 Feb 2014",16321.71,6809.700195,9692.080078,4408.080078,14841.070312,22836.960938,47094,1298.71
"2 Jan 2014",15698.85,6510.399902,9306.480469,4165.720215,14914.530273,22035.419922,47639,1243.07
"2 Dec 2013",16576.66,6749.100098,9552.160156,4295.950195,16291.30957,23306.390625,51507,1221.59
"1 Nov 2013",16086.41,6650.600098,9405.299805,4295.209961,15661.870117,23881.289062,52482,1277.42
"1 Oct 2013",15545.75,6731.399902,9033.919922,4299.890137,14327.94043,23206.369141,54256,1314.4
"3 Sep 2013",15129.67,6462.200195,8594.400391,4143.439941,14455.799805,22859.859375,52338,1348.46
"1 Aug 2013",14810.31,6412.899902,8103.149902,3933.780029,13388.860352,21731.369141,50008,1345.05
"1 Jul 2013",15499.54,6621.100098,8275.969727,3992.689941,13668.320312,21883.660156,48234,1284.35
"3 Jun 2013",14909.6,6215.5,7959.220215,3738.909912,13677.320312,20803.289062,47457,1342.7
"1 May 2013",15115.57,6583.100098,8348.839844,3948.590088,13774.540039,22392.160156,53506,1416.14
"1 Apr 2013",14839.8,6430.100098,7913.709961,3856.75,13860.860352,22737.009766,55910,1485.9
"1 Mar 2013",14578.54,6411.700195,7795.310059,3731.419922,12397.910156,22299.630859,56352,1591.01
"1 Feb 2013",14054.49,6360.799805,7741.700195,3723,11559.360352,23020.269531,57424,1630.69
"2 Jan 2013",13860.58,6276.899902,7776.049805,3732.600098,11138.660156,23729.529297,59761,1671.89
"3 Dec 2012",13104.14,5897.799805,7612.390137,3641.070068,10395.179688,22656.919922,60952,1687.34
"1 Nov 2012",13025.58,5866.799805,7405.5,3557.280029,9446.009766,22030.390625,57475,1724.35
"1 Oct 2012",13096.46,5782.700195,7260.629883,3429.27002,8928.290039,21641.820312,57068,1746.35
"4 Sep 2012",13437.13,5742.100098,7216.149902,3354.820068,8870.160156,20840.380859,59176,1741.92
"1 Aug 2012",13090.84,5711.5,6970.790039,3413.070068,8839.910156,19482.570312,57061,1625.68
"2 Jul 2012",13008.68,5635.299805,6772.259766,3291.659912,8695.05957,19796.810547,56097,1592.78
"1 Jun 2012",12880.09,5571.200195,6416.279785,3196.649902,9006.780273,19441.460938,54355,1595.63
"1 May 2012",12393.45,5320.899902,6264.379883,3017.01001,8542.730469,18629.519531,54490,1585.11
"2 Apr 2012",13213.63,5737.799805,6761.189941,3212.800049,9520.889648,21094.210938,61820,1648.54
"1 Mar 2012",13212.04,5768.5,6946.830078,3423.810059,10083.55957,20555.580078,64511,1675.06
"1 Feb 2012",12952.07,5871.5,6856.080078,3452.449951,9723.240234,21680.080078,65812,1743.1
"3 Jan 2012",12632.91,5681.600098,6458.910156,3298.550049,8802.509766,20390.490234,63072,1656.1
"1 Dec 2011",12217.56,5572.299805,5898.350098,3159.810059,8455.349609,18434.390625,56754,1652.72
"1 Nov 2011",12045.68,5505.399902,6088.839844,3154.620117,8434.610352,17989.349609,56875,1735.98
"3 Oct 2011",11955.01,5544.200195,6141.339844,3242.840088,8988.389648,19864.869141,58338,1667.89
"1 Sep 2011",10913.38,5128.5,5502.02002,2981.959961,8700.290039,17592.410156,52324,1780.65
"1 Aug 2011",11613.53,5394.5,5784.850098,3256.76001,8955.200195,20534.849609,56495,1759.5
"1 Jul 2011",12143.24,5815.200195,7158.77002,3672.77002,9833.030273,22440.25,58823,1568.53
"1 Jun 2011",12414.34,5945.700195,7376.240234,3982.209961,9816.089844,22398.099609,62404,1528.38
"2 May 2011",12569.79,5990,7293.689941,4006.939941,9693.730469,23684.130859,64620,1512.19
"1 Apr 2011",12810.54,6069.899902,7514.459961,4106.919922,9849.740234,23720.810547,66133,1474.43
"1 Mar 2011",12319.73,5908.799805,7041.310059,3989.179932,9755.099609,23527.519531,68587,1422.85
"1 Feb 2011",12226.34,5994,7272.319824,4110.350098,10624.089844,23338.019531,67383,1371.31
"3 Jan 2011",11891.93,5862.899902,7077.47998,4005.5,10237.919922,23447.339844,66575,1360.47
"1 Dec 2010",11577.51,5899.899902,6914.189941,3804.780029,10228.919922,23035.449219,69305,1393.51
"1 Nov 2010",11006.02,5528.299805,6688.490234,3610.439941,9937.040039,23007.990234,67705,1371.78
"1 Oct 2010",11118.49,5675.200195,6601.370117,3833.5,9202.450195,23096.320312,70673,1343.19
"1 Sep 2010",10788.05,5548.600098,6229.02002,3715.179932,9369.349609,22358.169922,69430,1271.46
"2 Aug 2010",10014.72,5225.200195,5925.220215,3490.790039,8824.05957,20536.490234,65145,1213.46
"1 Jul 2010",10465.94,5258,6147.970215,3643.139893,9537.299805,21029.810547,67515,1196
"1 Jun 2010",9774.02,4916.899902,5965.52002,3442.889893,9382.639648,20128.990234,60936,1232.38
"3 May 2010",10136.63,5188.399902,5964.330078,3507.560059,9768.700195,19765.189453,63047,1204.32
"1 Apr 2010",11008.61,5553.299805,6135.700195,3816.98999,11057.400391,21108.589844,67530,1148.47
"1 Mar 2010",10856.63,5679.600098,6153.549805,3974.01001,11089.94043,21239.349609,70372,1115.55
"1 Feb 2010",10325.26,5354.5,5598.459961,3708.800049,10126.030273,20608.699219,66503,1095.8
"4 Jan 2010",10067.33,5188.5,5608.790039,3739.459961,10198.040039,20121.990234,65402,1119.58
"1 Dec 2009",10428.05,5412.899902,5957.430176,3936.330078,10546.44043,21872.5,68588,1135.01
"2 Nov 2009",10344.84,5190.700195,5625.950195,3680.149902,9345.549805,21821.5,67044,1126.12
"1 Oct 2009",9712.73,5044.600098,5414.959961,3607.689941,10034.740234,21752.869141,61546,1043.51
