Date,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
4-Jan-2013,664.69,1466.47,492.62,13435.21,3101.66,879.15,415.76,15194.64
11-Jan-2013,667.88,1472.05,492.06,13488.43,3125.63,880.77,415.76,15255.04
18-Jan-2013,671.37,1485.98,500.06,13649.7,3134.71,892.8,415.76,15404.35
25-Jan-2013,677.15,1502.96,508.47,13895.98,3149.71,905.24,415.76,15593.56
1-Feb-2013,681.74,1513.17,509.43,14009.79,3179.1,911.2,415.76,15695.66
8-Feb-2013,683.04,1517.93,512.24,13992.97,3193.87,913.67,415.76,15751.64
15-Feb-2013,683.97,1519.79,516.43,13981.76,3192.03,923.15,415.76,15779.87
22-Feb-2013,683.62,1515.6,512.53,14000.57,3161.82,916.15,415.76,15718.17
1-Mar-2013,683.65,1518.2,512.4,14089.66,3169.74,914.73,415.76,15738.23
8-Mar-2013,698.27,1551.18,525.72,14397.07,3244.37,942.5,415.76,16098.62
15-Mar-2013,701.75,1560.7,531.73,14514.11,3249.07,952.48,415.76,16206.53
22-Mar-2013,700.57,1556.89,528.62,14512.03,3245,946.27,415.76,16163.89
28-Mar-2013,704.57,1569.19,531.38,14578.54,3267.52,951.54,415.76,16288.82
5-Apr-2013,699.49,1553.28,517.47,14565.25,3203.86,923.28,415.76,16084.42
12-Apr-2013,715.38,1588.85,526.64,14865.06,3294.95,942.85,415.76,16450.76
19-Apr-2013,700.82,1555.25,510.86,14547.51,3206.06,912.5,415.76,16089.9
26-Apr-2013,712.4,1582.24,523,14712.55,3279.26,935.25,415.76,16383.47
3-May-2013,725.65,1614.42,535.24,14973.96,3378.63,954.42,415.76,16705.78
10-May-2013,732.85,1633.7,548.58,15118.49,3436.58,975.16,425.64,16925.12
17-May-2013,746.75,1666.12,560.6,15354.4,3498.97,996.28,434.28,17269.27
24-May-2013,742.42,1649.6,553.18,15303.1,3459.14,984.28,429.12,17070.43
31-May-2013,733.63,1630.74,552.06,15115.57,3455.91,984.15,429.21,16896.76
7-Jun-2013,740.6,1643.38,554.11,15248.12,3469.22,987.62,430.67,17009.59
14-Jun-2013,732.1,1626.73,550.98,15070.18,3423.56,981.38,429.05,16847.32
21-Jun-2013,717.58,1592.43,543.27,14799.4,3357.25,963.68,419.42,16479.56
28-Jun-2013,720.62,1606.28,550.52,14909.6,3403.25,977.48,425.03,16654.74
5-Jul-2013,732.91,1631.89,568.15,15135.84,3479.38,1005.39,434.89,16941.83
12-Jul-2013,752.94,1680.19,583.89,15464.3,3600.08,1036.52,448.29,17445.13
19-Jul-2013,757.51,1692.09,590.25,15543.74,3587.61,1050.48,450.03,17578.08
26-Jul-2013,759.16,1691.65,588.67,15558.83,3613.16,1048.51,449.95,17588.11
2-Aug-2013,765.7,1709.67,595.68,15658.36,3689.59,1059.86,461.26,17793.02
9-Aug-2013,756.27,1691.42,592.07,15425.51,3660.11,1048.4,456.4,17604
16-Aug-2013,742.38,1655.83,580.24,15081.47,3602.78,1024.3,446.71,17221.56
23-Aug-2013,744.04,1663.5,588.53,15010.51,3657.79,1038.24,452.76,17328.37
30-Aug-2013,730.92,1632.97,572.82,14810.31,3589.87,1010.9,443.36,16995.74
6-Sep-2013,739.53,1655.17,581.37,14922.5,3660.01,1029.55,450.16,17234.07
13-Sep-2013,754.07,1687.99,595.37,15376.06,3722.18,1053.98,460.48,17586.12
20-Sep-2013,763.23,1709.91,605.28,15451.09,3774.73,1072.83,466.97,17815.55
27-Sep-2013,753.51,1691.75,606.61,15258.24,3781.59,1074.19,467.97,17667.13
4-Oct-2013,750.81,1690.5,608.28,15072.58,3807.75,1078.25,472.56,17676.85
11-Oct-2013,757.73,1703.2,615.48,15237.11,3791.87,1084.31,473.08,17790.82
18-Oct-2013,776.21,1744.5,632.74,15399.65,3914.28,1114.77,486.28,18229.99
25-Oct-2013,783.33,1759.77,636.48,15570.28,3943.36,1118.34,488.1,18374.71
1-Nov-2013,785.61,1761.64,626.68,15615.55,3922.04,1095.67,483.48,18356.07
8-Nov-2013,791.03,1770.61,632.84,15761.78,3919.23,1099.97,486,18420.44
15-Nov-2013,802.1,1798.18,640.92,15961.7,3985.97,1116.2,496.08,18715.32
22-Nov-2013,804.95,1804.76,648.08,16064.77,3991.65,1124.92,498.3,18766.53
29-Nov-2013,806.36,1805.81,656.85,16086.41,4059.89,1142.89,502.07,18799.91
6-Dec-2013,805.75,1805.09,649.58,16020.2,4062.52,1131.38,497.69,18786.15
13-Dec-2013,791.56,1775.32,636.78,15755.36,4000.98,1107.05,489.49,18483.56
20-Dec-2013,809.74,1818.31,657.41,16221.14,4104.74,1146.47,503.99,18937.83
27-Dec-2013,821.25,1841.4,665.07,16478.41,4156.59,1161.09,510.14,19179.06
3-Jan-2014,816.47,1831.37,660.06,16469.99,4131.91,1156.09,507.77,19088.13
10-Jan-2014,817.95,1842.37,659.8,16437.05,4174.66,1164.53,510.76,19218.82
17-Jan-2014,817.33,1838.7,659.81,16458.56,4197.58,1168.43,507.37,19197.17
24-Jan-2014,796.28,1790.29,647.43,15879.11,4128.17,1144.13,494.11,18713.23
31-Jan-2014,789.7,1782.59,639.51,15698.85,4103.88,1130.88,492.5,18629.6
7-Feb-2014,795.29,1797.02,631.73,15794.08,4125.86,1116.55,491.42,18735.36
14-Feb-2014,812.57,1838.63,648.62,16154.39,4244.03,1149.21,504.51,19189.43
21-Feb-2014,807.33,1836.25,655.18,16103.3,4263.41,1164.63,511.1,19202.93
28-Feb-2014,818.24,1859.45,667.33,16321.71,4308.12,1183.03,520.4,19448.88
7-Mar-2014,826.7,1878.04,681.22,16452.72,4336.22,1203.32,528.53,19654.14
14-Mar-2014,809.95,1841.13,669.63,16065.67,4245.4,1181.41,518.16,19280.02
21-Mar-2014,823.64,1866.4,678.28,16302.77,4276.79,1193.73,522.69,19531.31
28-Mar-2014,822.4,1857.62,659.25,16323.06,4155.76,1151.81,512.91,19375.34
4-Apr-2014,824.58,1865.09,663.44,16412.71,4127.73,1153.38,515.84,19451.89
11-Apr-2014,804.9,1815.69,642.79,16026.75,3999.73,1111.44,498.74,18911.85
17-Apr-2014,825.68,1864.85,657.73,16408.54,4095.52,1137.9,513.2,19410.63
25-Apr-2014,825.56,1863.4,649.73,16361.46,4075.56,1123.03,508.64,19371.55
2-May-2014,833.86,1881.14,652.56,16512.89,4123.9,1128.8,513.13,19560.29
9-May-2014,832.96,1878.48,642.69,16583.34,4071.87,1107.22,506.25,19490.48
16-May-2014,832.32,1877.86,639.08,16491.31,4090.59,1102.91,505.47,19480.84
23-May-2014,842.59,1900.53,650.03,16606.27,4185.81,1126.19,513.7,19723.65
30-May-2014,852.69,1923.57,653.01,16717.17,4242.62,1134.5,518.12,19951.29
6-Jun-2014,862.32,1949.44,671.26,16924.28,4321.4,1165.21,529.95,20252.56
13-Jun-2014,857.19,1936.16,667.29,16775.74,4310.65,1162.68,525.81,20118.88
20-Jun-2014,866.15,1962.87,679.59,16947.08,4368.04,1188.43,535.23,20409.01
27-Jun-2014,866.54,1960.96,680.61,16851.84,4397.93,1189.5,536.09,20400.27
3-Jul-2014,878.14,1985.44,692.54,17068.26,4485.93,1208.15,545.89,20650.34
11-Jul-2014,871.9,1967.57,667.14,16943.81,4415.49,1159.93,532.31,20404.99
18-Jul-2014,879.49,1978.22,664.04,17100.18,4432.15,1151.61,532.29,20498.63
25-Jul-2014,879.88,1978.34,659.58,16960.57,4449.56,1144.72,532.78,20493.09
1-Aug-2014,855.45,1925.15,643.29,16493.37,4352.64,1114.86,516.34,19946.82
8-Aug-2014,857.89,1931.59,652.14,16553.93,4370.9,1131.35,520.97,20028.85
15-Aug-2014,868.27,1955.06,657.1,16662.91,4464.93,1141.65,525.84,20268.33
22-Aug-2014,882.79,1988.4,667.71,17001.22,4538.55,1160.34,535.61,20613.04
29-Aug-2014,889.08,2003.37,671.88,17098.45,4580.27,1174.35,539.75,20777.34
5-Sep-2014,890.48,2007.71,672.04,17137.36,4582.9,1170.13,539.13,20814.56
12-Sep-2014,883.07,1985.54,664.56,16987.51,4567.6,1160.61,534,20582.66
19-Sep-2014,897.09,2010.4,658.3,17279.74,4579.79,1146.92,531.8,20773.23
26-Sep-2014,885.25,1982.85,643.65,17113.15,4512.19,1119.33,522.26,20453.15
3-Oct-2014,878.77,1967.9,636.31,17009.69,4475.62,1104.74,515.17,20282.7
10-Oct-2014,853.36,1906.13,610.9,16544.1,4276.24,1053.32,491.09,19601.5
17-Oct-2014,840.94,1886.76,624.69,16380.41,4258.44,1082.33,496.07,19496.45
