contractSymbol,strike,lastPrice,bid,ask,volume
call,2000,2100.3,2099.3,2101.3,1.0
call,2100,2000.58,1999.58,2001.58,1.0
call,2200,1901.05,1900.05,1902.05,1.0
call,2300,1801.81,1800.81,1802.81,1.0
call,2400,1703.01,1702.01,1704.01,1.0
call,2500,1604.81,1603.81,1605.81,1.0
call,2600,1507.44,1506.44,1508.44,1.0
call,2700,1411.14,1410.14,1412.14,1.0
call,2800,1316.2,1315.2,1318.2,1.0
call,2900,1222.97,1221.97,1223.97,1.0
call,3000,1131.78,1130.78,1132.78,1.0
call,3050,1087.06,1086.06,1089.06,1.0
call,3100,1043.0,1042.0,1044.0,1.0
call,3150,999.63,998.63,1000.63,1.0
call,3200,957.0,954.0,958.0,1.0
call,3250,915.15,914.15,916.15,1.0
call,3300,874.14,873.14,875.14,1.0
call,3350,833.99,832.99,835.99,1.0
call,3400,794.76,791.76,795.76,1.0
call,3450,756.47,755.47,757.47,1.0
call,3500,719.16,718.16,721.16,1.0
call,3550,682.86,680.86,683.86,1.0
call,3600,647.6,645.6,648.6,1.0
call,3650,613.41,612.41,615.41,1.0
call,3700,580.3,579.3,581.3,1.0
call,3750,548.29,547.29,549.29,1.0
call,3800,517.4,516.4,518.4,1.0
call,3850,487.64,486.64,488.64,1.0
call,3900,459.01,458.01,460.01,1.0
call,3950,431.51,430.51,432.51,1.0
call,4000,405.14,404.14,406.14,1.0
call,4005,402.57,401.57,403.57,1.0
call,4010,400.0,398.0,401.0,1.0
call,4015,397.45,395.45,398.45,1.0
call,4020,394.91,393.91,395.91,1.0
call,4025,392.38,391.38,393.38,1.0
call,4030,389.86,388.86,390.86,1.0
call,4035,387.36,386.36,388.36,1.0
call,4040,384.86,382.86,388.86,1.0
call,4045,382.38,381.38,383.38,1.0
call,4050,379.9,377.9,381.9,1.0
call,4055,377.44,376.44,378.44,1.0
call,4060,374.99,372.99,375.99,1.0
call,4065,372.55,371.55,373.55,1.0
call,4070,370.12,369.12,371.12,1.0
call,4075,367.7,366.7,368.7,1.0
call,4080,365.3,364.3,366.3,1.0
call,4085,362.9,360.9,363.9,1.0
call,4090,360.52,357.52,361.52,1.0
call,4095,358.15,357.15,359.15,1.0
call,4100,355.78,354.78,357.78,1.0
call,4105,353.43,352.43,354.43,1.0
call,4110,351.09,350.09,352.09,1.0
call,4115,348.76,346.76,350.76,1.0
call,4120,346.45,344.45,348.45,1.0
call,4125,344.14,343.14,345.14,1.0
call,4130,341.84,340.84,342.84,1.0
call,4135,339.56,338.56,341.56,1.0
call,4140,337.29,336.29,338.29,1.0
call,4145,335.02,334.02,336.02,1.0
call,4150,332.77,331.77,333.77,1.0
call,4155,330.53,329.53,331.53,1.0
call,4160,328.3,327.3,329.3,1.0
call,4165,326.08,325.08,327.08,1.0
call,4170,323.87,321.87,324.87,1.0
call,4175,321.68,320.68,322.68,1.0
call,4180,319.49,317.49,321.49,1.0
call,4185,317.31,316.31,319.31,1.0
call,4190,315.15,314.15,317.15,1.0
call,4195,312.99,311.99,314.99,1.0
call,4200,310.85,306.85,311.85,1.0
call,4250,290.01,289.01,291.01,1.0
call,4300,270.22,268.22,271.22,1.0
call,4350,251.46,250.46,254.46,1.0
call,4400,233.71,232.71,234.71,1.0
call,4450,216.93,215.93,217.93,1.0
call,4500,201.11,199.11,203.11,1.0
call,4550,186.21,185.21,188.21,1.0
call,4600,172.19,171.19,173.19,1.0
call,4650,159.04,158.04,160.04,1.0
call,4700,146.7,145.7,147.7,1.0
call,4750,135.16,134.16,136.16,1.0
call,4800,124.37,123.37,125.37,1.0
call,4850,114.3,112.3,115.3,1.0
call,4900,104.93,103.93,106.93,1.0
call,4950,96.2,95.2,98.2,1.0
call,5000,88.09,87.09,90.09,1.0
call,5100,73.61,72.61,74.61,1.0
call,5200,61.22,60.22,62.22,1.0
call,5300,50.67,49.67,51.67,1.0
call,5400,41.75,40.75,42.75,1.0
call,5500,34.25,33.25,37.25,1.0
call,5600,27.97,26.97,29.97,1.0
call,5700,22.74,21.74,23.74,1.0
call,5800,18.41,17.41,20.41,1.0
call,5900,14.84,13.84,15.84,1.0
call,6000,11.91,10.91,12.91,1.0
call,6100,9.52,8.52,12.52,1.0
call,6200,7.58,5.58,8.58,1.0
call,6300,6.01,5.01,9.01,1.0
call,6400,4.75,4.0375,4.9875,1.0
call,6500,3.73,3.5435,3.9165,1.0
call,6600,2.93,2.7835,3.0765000000000002,1.0
call,6700,2.29,2.061,2.4045,1.0
call,6800,1.78,1.691,1.958,1.0
call,6900,1.38,1.242,1.4489999999999998,1.0
call,7000,1.06,1.0070000000000001,1.113,1.0
call,7100,0.82,0.7789999999999999,0.943,1.0
call,7200,0.63,0.5985,0.6615,1.0
call,7300,0.48,0.45599999999999996,0.528,1.0
call,7400,0.37,0.3515,0.407,1.0
