contractSymbol,strike,lastPrice,bid,ask,volume
call,200.0,3900.0,3899.0,3903.0,1.0
call,400.0,3700.0,3698.0,3701.0,1.0
call,600.0,3500.0,3499.0,3501.0,1.0
call,800.0,3300.0,3299.0,3301.0,1.0
call,1000.0,3100.0,3099.0,3101.0,1.0
call,1200.0,2900.0,2899.0,2901.0,1.0
call,1400.0,2700.0,2699.0,2701.0,1.0
call,1500.0,2600.0,2599.0,2601.0,1.0
call,1600.0,2500.01,2498.01,2502.01,1.0
call,1700.0,2400.03,2398.03,2401.03,1.0
call,1800.0,2300.07,2299.07,2302.07,1.0
call,1900.0,2200.15,2199.15,2201.15,1.0
call,2000.0,2100.3,2098.3,2101.3,1.0
call,2100.0,2000.58,1999.58,2001.58,1.0
call,2200.0,1901.05,1900.05,1902.05,1.0
call,2300.0,1801.81,1799.81,1802.81,1.0
call,2350.0,1752.35,1751.35,1753.35,1.0
call,2400.0,1703.01,1702.01,1705.01,1.0
call,2450.0,1653.83,1652.83,1654.83,1.0
call,2500.0,1604.81,1603.81,1605.81,1.0
call,2550.0,1556.01,1555.01,1558.01,1.0
call,2600.0,1507.44,1506.44,1508.44,1.0
call,2650.0,1459.13,1458.13,1461.13,1.0
call,2700.0,1411.14,1410.14,1412.14,1.0
call,2725.0,1387.26,1386.26,1388.26,1.0
call,2750.0,1363.48,1362.48,1364.48,1.0
call,2775.0,1339.79,1338.79,1340.79,1.0
call,2800.0,1316.2,1315.2,1318.2,1.0
call,2825.0,1292.72,1291.72,1293.72,1.0
call,2850.0,1269.35,1267.35,1270.35,1.0
call,2875.0,1246.1,1245.1,1248.1,1.0
call,2900.0,1222.97,1221.97,1223.97,1.0
call,2925.0,1199.96,1198.96,1200.96,1.0
call,2950.0,1177.09,1176.09,1179.09,1.0
call,2975.0,1154.36,1153.36,1155.36,1.0
call,3000.0,1131.78,1130.78,1132.78,1.0
call,3025.0,1109.34,1108.34,1110.34,1.0
call,3050.0,1087.06,1085.06,1089.06,1.0
call,3075.0,1064.94,1063.94,1065.94,1.0
call,3090.0,1051.76,1050.76,1052.76,1.0
call,3100.0,1043.0,1042.0,1044.0,1.0
call,3110.0,1034.27,1033.27,1035.27,1.0
call,3120.0,1025.56,1024.56,1027.56,1.0
call,3125.0,1021.22,1020.22,1022.22,1.0
call,3130.0,1016.89,1015.89,1018.89,1.0
call,3140.0,1008.24,1007.24,1009.24,1.0
call,3150.0,999.63,998.63,1001.63,1.0
call,3160.0,991.04,990.04,992.04,1.0
call,3170.0,982.48,981.48,983.48,1.0
call,3175.0,978.22,977.22,979.22,1.0
call,3180.0,973.96,972.96,974.96,1.0
call,3190.0,965.46,962.46,966.46,1.0
call,3200.0,957.0,956.0,959.0,1.0
call,3210.0,948.57,945.57,949.57,1.0
call,3220.0,940.16,939.16,941.16,1.0
call,3225.0,935.98,934.98,936.98,1.0
call,3230.0,931.79,928.79,932.79,1.0
call,3240.0,923.46,922.46,924.46,1.0
call,3250.0,915.15,914.15,917.15,1.0
call,3260.0,906.88,905.88,907.88,1.0
call,3270.0,898.65,897.65,899.65,1.0
call,3275.0,894.54,893.54,896.54,1.0
call,3280.0,890.44,889.44,892.44,1.0
call,3290.0,882.27,881.27,883.27,1.0
call,3300.0,874.14,873.14,875.14,1.0
call,3310.0,866.04,865.04,868.04,1.0
call,3320.0,857.97,856.97,858.97,1.0
call,3325.0,853.96,852.96,854.96,1.0
call,3330.0,849.95,848.95,850.95,1.0
call,3340.0,841.95,840.95,842.95,1.0
call,3350.0,833.99,831.99,834.99,1.0
call,3360.0,826.07,823.07,827.07,1.0
call,3370.0,818.19,817.19,819.19,1.0
call,3375.0,814.26,813.26,815.26,1.0
call,3380.0,810.34,809.34,812.34,1.0
call,3390.0,802.53,800.53,803.53,1.0
call,3395.0,798.64,797.64,800.64,1.0
call,3400.0,794.76,793.76,795.76,1.0
call,3405.0,790.89,789.89,791.89,1.0
call,3410.0,787.02,786.02,788.02,1.0
call,3415.0,783.17,782.17,784.17,1.0
call,3420.0,779.33,778.33,780.33,1.0
call,3425.0,775.49,774.49,777.49,1.0
call,3430.0,771.67,770.67,772.67,1.0
call,3435.0,767.85,766.85,768.85,1.0
call,3440.0,764.05,763.05,765.05,1.0
call,3445.0,760.25,759.25,761.25,1.0
call,3450.0,756.47,755.47,757.47,1.0
call,3455.0,752.69,751.69,753.69,1.0
call,3460.0,748.93,746.93,750.93,1.0
call,3465.0,745.17,744.17,746.17,1.0
call,3470.0,741.43,740.43,742.43,1.0
call,3475.0,737.69,736.69,738.69,1.0
call,3480.0,733.96,732.96,734.96,1.0
call,3485.0,730.25,729.25,732.25,1.0
call,3490.0,726.54,725.54,727.54,1.0
call,3495.0,722.84,721.84,723.84,1.0
call,3500.0,719.16,718.16,721.16,1.0
call,3505.0,715.48,713.48,716.48,1.0
call,3510.0,711.82,710.82,712.82,1.0
call,3515.0,708.16,707.16,710.16,1.0
call,3520.0,704.52,703.52,705.52,1.0
call,3525.0,700.88,699.88,701.88,1.0
call,3530.0,697.26,696.26,698.26,1.0
call,3535.0,693.64,692.64,694.64,1.0
call,3540.0,690.04,689.04,691.04,1.0
call,3545.0,686.44,685.44,687.44,1.0
call,3550.0,682.86,681.86,683.86,1.0
call,3555.0,679.29,678.29,680.29,1.0
call,3560.0,675.73,674.73,677.73,1.0
call,3565.0,672.17,671.17,673.17,1.0
call,3570.0,668.63,667.63,669.63,1.0
call,3575.0,665.1,664.1,668.1,1.0
call,3580.0,661.58,659.58,662.58,1.0
call,3585.0,658.07,657.07,660.07,1.0
call,3590.0,654.57,653.57,655.57,1.0
call,3595.0,651.08,650.08,652.08,1.0
call,3600.0,647.6,646.6,648.6,1.0
call,3605.0,644.14,643.14,645.14,1.0
call,3610.0,640.68,639.68,641.68,1.0
call,3615.0,637.23,636.23,638.23,1.0
call,3620.0,633.8,631.8,634.8,1.0
call,3625.0,630.37,628.37,631.37,1.0
call,3630.0,626.96,625.96,627.96,1.0
call,3635.0,623.55,622.55,624.55,1.0
call,3640.0,620.16,619.16,621.16,1.0
call,3645.0,616.78,615.78,617.78,1.0
call,3650.0,613.41,612.41,614.41,1.0
call,3655.0,610.05,609.05,611.05,1.0
call,3660.0,606.7,605.7,607.7,1.0
call,3665.0,603.36,602.36,604.36,1.0
call,3670.0,600.03,599.03,601.03,1.0
call,3675.0,596.72,595.72,598.72,1.0
call,3680.0,593.41,592.41,594.41,1.0
call,3685.0,590.12,589.12,591.12,1.0
call,3690.0,586.83,585.83,588.83,1.0
call,3695.0,583.56,582.56,584.56,1.0
call,3700.0,580.3,579.3,581.3,1.0
call,3705.0,577.05,576.05,580.05,1.0
call,3710.0,573.81,572.81,575.81,1.0
call,3715.0,570.58,569.58,571.58,1.0
call,3720.0,567.36,565.36,570.36,1.0
call,3725.0,564.16,563.16,565.16,1.0
call,3730.0,560.96,559.96,561.96,1.0
call,3735.0,557.78,556.78,558.78,1.0
call,3740.0,554.61,553.61,558.61,1.0
call,3745.0,551.44,550.44,552.44,1.0
call,3750.0,548.29,547.29,551.29,1.0
call,3755.0,545.15,544.15,546.15,1.0
call,3760.0,542.03,541.03,543.03,1.0
call,3765.0,538.91,536.91,539.91,1.0
call,3770.0,535.8,534.8,536.8,1.0
call,3775.0,532.71,531.71,533.71,1.0
call,3780.0,529.62,528.62,531.62,1.0
call,3785.0,526.55,525.55,527.55,1.0
call,3790.0,523.49,522.49,524.49,1.0
call,3795.0,520.44,519.44,521.44,1.0
call,3800.0,517.4,516.4,518.4,1.0
call,3805.0,514.38,512.38,515.38,1.0
call,3810.0,511.36,510.36,512.36,1.0
call,3815.0,508.35,506.35,510.35,1.0
call,3820.0,505.36,503.36,506.36,1.0
call,3825.0,502.38,501.38,503.38,1.0
call,3830.0,499.41,498.41,500.41,1.0
call,3835.0,496.45,494.45,498.45,1.0
call,3840.0,493.5,492.5,494.5,1.0
call,3845.0,490.56,489.56,491.56,1.0
call,3850.0,487.64,486.64,488.64,1.0
call,3855.0,484.72,483.72,486.72,1.0
call,3860.0,481.82,480.82,482.82,1.0
call,3865.0,478.93,477.93,479.93,1.0
call,3870.0,476.05,474.05,477.05,1.0
call,3875.0,473.18,472.18,474.18,1.0
call,3880.0,470.32,469.32,471.32,1.0
call,3885.0,467.48,466.48,468.48,1.0
call,3890.0,464.64,463.64,465.64,1.0
call,3895.0,461.82,458.82,463.82,1.0
call,3900.0,459.01,456.01,460.01,1.0
call,3905.0,456.2,455.2,459.2,1.0
call,3910.0,453.41,452.41,454.41,1.0
call,3915.0,450.64,449.64,451.64,1.0
call,3920.0,447.87,446.87,448.87,1.0
