contractSymbol,strike,lastPrice,bid,ask,volume
call,2000,2100.38,2099.38,2101.38,1.0
call,2100,2000.69,1998.69,2001.69,1.0
call,2200,1901.21,1900.21,1903.21,1.0
call,2300,1802.03,1800.03,1803.03,1.0
call,2400,1703.29,1702.29,1704.29,1.0
call,2500,1605.15,1604.15,1606.15,1.0
call,2600,1507.83,1506.83,1508.83,1.0
call,2700,1411.57,1410.57,1412.57,1.0
call,2800,1316.65,1315.65,1317.65,1.0
call,2900,1223.39,1221.39,1224.39,1.0
call,3000,1132.14,1131.14,1133.14,1.0
call,3050,1087.38,1086.38,1088.38,1.0
call,3100,1043.26,1042.26,1044.26,1.0
call,3150,999.82,997.82,1000.82,1.0
call,3200,957.12,956.12,958.12,1.0
call,3250,915.19,914.19,917.19,1.0
call,3300,874.08,873.08,875.08,1.0
call,3350,833.83,832.83,834.83,1.0
call,3400,794.48,793.48,795.48,1.0
call,3450,756.08,755.08,757.08,1.0
call,3500,718.66,717.66,719.66,1.0
call,3550,682.24,681.24,683.24,1.0
call,3600,646.87,645.87,647.87,1.0
call,3650,612.56,611.56,613.56,1.0
call,3700,579.34,578.34,580.34,1.0
call,3750,547.23,546.23,548.23,1.0
call,3800,516.24,515.24,517.24,1.0
call,3850,486.39,485.39,487.39,1.0
call,3900,457.68,456.68,458.68,1.0
call,3950,430.11,428.11,431.11,1.0
call,4000,403.7,402.7,404.7,1.0
call,4005,401.12,400.12,402.12,1.0
call,4010,398.55,397.55,400.55,1.0
call,4015,395.99,393.99,396.99,1.0
call,4020,393.45,391.45,394.45,1.0
call,4025,390.91,389.91,391.91,1.0
call,4030,388.39,387.39,389.39,1.0
call,4035,385.88,384.88,386.88,1.0
call,4040,383.38,381.38,384.38,1.0
call,4045,380.89,378.89,381.89,1.0
call,4050,378.42,377.42,380.42,1.0
call,4055,375.95,374.95,377.95,1.0
call,4060,373.5,372.5,376.5,1.0
call,4065,371.06,369.06,372.06,1.0
call,4070,368.62,367.62,369.62,1.0
call,4075,366.2,365.2,367.2,1.0
call,4080,363.8,362.8,364.8,1.0
call,4085,361.4,360.4,362.4,1.0
call,4090,359.01,355.01,360.01,1.0
call,4095,356.64,355.64,357.64,1.0
call,4100,354.27,353.27,356.27,1.0
call,4105,351.92,349.92,352.92,1.0
call,4110,349.58,348.58,350.58,1.0
call,4115,347.25,346.25,349.25,1.0
call,4120,344.93,343.93,345.93,1.0
call,4125,342.62,341.62,343.62,1.0
call,4130,340.33,339.33,341.33,1.0
call,4135,338.04,337.04,339.04,1.0
call,4140,335.77,334.77,336.77,1.0
call,4145,333.5,331.5,334.5,1.0
call,4150,331.25,330.25,333.25,1.0
call,4155,329.01,328.01,330.01,1.0
call,4160,326.78,325.78,327.78,1.0
call,4165,324.56,321.56,325.56,1.0
call,4170,322.35,320.35,323.35,1.0
call,4175,320.16,317.16,321.16,1.0
call,4180,317.97,316.97,318.97,1.0
call,4185,315.79,314.79,316.79,1.0
call,4190,313.63,311.63,315.63,1.0
call,4195,311.48,310.48,312.48,1.0
call,4200,309.33,308.33,310.33,1.0
call,4250,288.51,286.51,289.51,1.0
call,4300,268.75,267.75,269.75,1.0
call,4350,250.03,249.03,251.03,1.0
call,4400,232.34,230.34,233.34,1.0
call,4450,215.63,214.63,216.63,1.0
call,4500,199.89,198.89,200.89,1.0
call,4550,185.08,183.08,186.08,1.0
call,4600,171.16,170.16,173.16,1.0
call,4650,158.11,157.11,162.11,1.0
call,4700,145.89,143.89,146.89,1.0
call,4750,134.45,133.45,135.45,1.0
call,4800,123.78,122.78,124.78,1.0
call,4850,113.83,112.83,114.83,1.0
call,4900,104.57,103.57,105.57,1.0
call,4950,95.96,93.96,96.96,1.0
call,5000,87.97,86.97,88.97,1.0
call,5100,73.71,72.71,74.71,1.0
call,5200,61.52,60.52,62.52,1.0
call,5300,51.15,50.15,52.15,1.0
call,5400,42.38,41.38,43.38,1.0
call,5500,34.99,33.99,35.99,1.0
call,5600,28.8,27.8,29.8,1.0
call,5700,23.64,22.64,24.64,1.0
call,5800,19.34,17.34,20.34,1.0
call,5900,15.78,14.78,17.78,1.0
call,6000,12.85,11.85,13.85,1.0
call,6100,10.43,9.43,11.43,1.0
call,6200,8.45,7.449999999999999,9.45,1.0
call,6300,6.83,5.83,8.83,1.0
call,6400,5.52,4.52,6.52,1.0
call,6500,4.44,3.9960000000000004,4.662000000000001,1.0
call,6600,3.57,3.3914999999999997,3.7485,1.0
call,6700,2.87,2.7265,3.0135,1.0
call,6800,2.3,2.1849999999999996,2.415,1.0
call,6900,1.85,1.7575,1.9425000000000001,1.0
call,7000,1.48,1.406,1.554,1.0
call,7100,1.18,1.121,1.2389999999999999,1.0
call,7200,0.94,0.846,0.987,1.0
call,7300,0.75,0.7125,0.7875,1.0
call,7400,0.6,0.57,0.63,1.0
