contractSymbol,strike,lastPrice,bid,ask,volume
call,200.0,3900.0,3898.0,3901.0,1.0
call,400.0,3700.0,3698.0,3701.0,1.0
call,600.0,3500.0,3499.0,3502.0,1.0
call,800.0,3300.0,3299.0,3301.0,1.0
call,1000.0,3100.0,3099.0,3102.0,1.0
call,1200.0,2900.0,2899.0,2901.0,1.0
call,1400.0,2700.0,2699.0,2702.0,1.0
call,1500.0,2600.01,2599.01,2603.01,1.0
call,1600.0,2500.02,2498.02,2504.02,1.0
call,1700.0,2400.05,2398.05,2401.05,1.0
call,1800.0,2300.1,2298.1,2301.1,1.0
call,1900.0,2200.2,2199.2,2201.2,1.0
call,2000.0,2100.38,2099.38,2101.38,1.0
call,2100.0,2000.69,1999.69,2001.69,1.0
call,2200.0,1901.21,1900.21,1902.21,1.0
call,2300.0,1802.03,1801.03,1803.03,1.0
call,2350.0,1752.6,1751.6,1753.6,1.0
call,2400.0,1703.29,1702.29,1704.29,1.0
call,2450.0,1654.13,1653.13,1655.13,1.0
call,2500.0,1605.15,1604.15,1606.15,1.0
call,2550.0,1556.38,1555.38,1557.38,1.0
call,2600.0,1507.83,1506.83,1508.83,1.0
call,2650.0,1459.55,1458.55,1460.55,1.0
call,2700.0,1411.57,1410.57,1413.57,1.0
call,2725.0,1387.7,1386.7,1388.7,1.0
call,2750.0,1363.92,1362.92,1364.92,1.0
call,2775.0,1340.23,1338.23,1341.23,1.0
call,2800.0,1316.65,1315.65,1317.65,1.0
call,2825.0,1293.16,1292.16,1294.16,1.0
call,2850.0,1269.79,1268.79,1270.79,1.0
call,2875.0,1246.53,1245.53,1247.53,1.0
call,2900.0,1223.39,1222.39,1224.39,1.0
call,2925.0,1200.37,1199.37,1205.37,1.0
call,2950.0,1177.49,1176.49,1178.49,1.0
call,2975.0,1154.74,1152.74,1155.74,1.0
call,3000.0,1132.14,1131.14,1133.14,1.0
call,3025.0,1109.68,1108.68,1111.68,1.0
call,3050.0,1087.38,1086.38,1088.38,1.0
call,3075.0,1065.23,1064.23,1066.23,1.0
call,3090.0,1052.03,1051.03,1053.03,1.0
call,3100.0,1043.26,1042.26,1044.26,1.0
call,3110.0,1034.51,1033.51,1035.51,1.0
call,3120.0,1025.8,1024.8,1026.8,1.0
call,3125.0,1021.45,1020.45,1022.45,1.0
