contractSymbol,strike,lastPrice,bid,ask,volume
call,2000,2100.18,2099.18,2101.18,1.0
call,2100,2000.34,1999.34,2001.34,1.0
call,2200,1900.64,1899.64,1902.64,1.0
call,2300,1801.13,1800.13,1802.13,1.0
call,2400,1701.92,1699.92,1702.92,1.0
call,2500,1603.16,1602.16,1604.16,1.0
call,2600,1505.02,1504.02,1506.02,1.0
call,2700,1407.72,1406.72,1408.72,1.0
call,2800,1311.54,1310.54,1313.54,1.0
call,2900,1216.8,1215.8,1217.8,1.0
call,3000,1123.85,1121.85,1124.85,1.0
call,3050,1078.17,1077.17,1079.17,1.0
call,3100,1033.09,1028.09,1034.09,1.0
call,3150,988.65,987.65,991.65,1.0
call,3200,944.92,943.92,946.92,1.0
call,3250,901.93,900.93,902.93,1.0
call,3300,859.75,858.75,860.75,1.0
call,3350,818.43,817.43,819.43,1.0
call,3400,778.02,776.02,779.02,1.0
call,3450,738.55,737.55,739.55,1.0
call,3500,700.09,699.09,701.09,1.0
call,3550,662.66,660.66,663.66,1.0
call,3600,626.32,625.32,627.32,1.0
call,3650,591.08,590.08,592.08,1.0
call,3700,556.99,555.99,557.99,1.0
call,3750,524.08,522.08,525.08,1.0
call,3800,492.35,491.35,493.35,1.0
call,3850,461.84,459.84,462.84,1.0
call,3900,432.55,431.55,433.55,1.0
call,3950,404.5,402.5,405.5,1.0
call,4000,377.67,375.67,378.67,1.0
call,4005,375.06,374.06,378.06,1.0
call,4010,372.45,371.45,373.45,1.0
call,4015,369.86,367.86,370.86,1.0
call,4020,367.29,366.29,370.29,1.0
call,4025,364.72,363.72,366.72,1.0
call,4030,362.17,361.17,363.17,1.0
call,4035,359.63,357.63,360.63,1.0
call,4040,357.1,355.1,358.1,1.0
call,4045,354.58,353.58,355.58,1.0
call,4050,352.08,351.08,353.08,1.0
call,4055,349.59,348.59,351.59,1.0
call,4060,347.11,346.11,348.11,1.0
call,4065,344.64,343.64,345.64,1.0
call,4070,342.18,341.18,343.18,1.0
call,4075,339.74,337.74,340.74,1.0
call,4080,337.31,336.31,338.31,1.0
call,4085,334.89,333.89,336.89,1.0
call,4090,332.49,331.49,333.49,1.0
call,4095,330.09,329.09,332.09,1.0
call,4100,327.71,326.71,328.71,1.0
call,4105,325.34,324.34,326.34,1.0
call,4110,322.98,321.98,323.98,1.0
call,4115,320.64,319.64,323.64,1.0
call,4120,318.3,317.3,319.3,1.0
call,4125,315.98,313.98,316.98,1.0
call,4130,313.67,312.67,314.67,1.0
call,4135,311.38,310.38,313.38,1.0
call,4140,309.09,308.09,311.09,1.0
call,4145,306.82,305.82,307.82,1.0
call,4150,304.56,303.56,305.56,1.0
call,4155,302.31,301.31,303.31,1.0
call,4160,300.07,299.07,301.07,1.0
call,4165,297.84,296.84,298.84,1.0
call,4170,295.63,294.63,296.63,1.0
call,4175,293.43,292.43,294.43,1.0
call,4180,291.24,288.24,292.24,1.0
call,4185,289.06,287.06,291.06,1.0
call,4190,286.9,285.9,287.9,1.0
call,4195,284.74,283.74,285.74,1.0
call,4200,282.6,281.6,284.6,1.0
call,4250,261.82,260.82,262.82,1.0
call,4300,242.2,241.2,243.2,1.0
call,4350,223.71,222.71,224.71,1.0
call,4400,206.31,205.31,207.31,1.0
call,4450,189.98,188.98,190.98,1.0
call,4500,174.69,173.69,175.69,1.0
call,4550,160.38,159.38,161.38,1.0
call,4600,147.04,146.04,149.04,1.0
call,4650,134.6,133.6,135.6,1.0
call,4700,123.05,122.05,124.05,1.0
call,4750,112.32,110.32,114.32,1.0
call,4800,102.39,101.39,104.39,1.0
call,4850,93.21,92.21,94.21,1.0
call,4900,84.74,83.74,85.74,1.0
call,4950,76.94,75.94,77.94,1.0
call,5000,69.76,68.76,70.76,1.0
call,5100,57.13,56.13,58.13,1.0
call,5200,46.57,45.57,49.57,1.0
call,5300,37.77,35.77,38.77,1.0
call,5400,30.5,29.5,32.5,1.0
call,5500,24.53,23.53,25.53,1.0
call,5600,19.64,18.64,20.64,1.0
call,5700,15.67,14.67,16.67,1.0
call,5800,12.46,11.46,13.46,1.0
call,5900,9.87,8.87,10.87,1.0
call,6000,7.79,6.79,8.79,1.0
call,6100,6.14,5.14,7.14,1.0
call,6200,4.82,4.579000000000001,5.3020000000000005,1.0
call,6300,3.77,3.5815,3.9585,1.0
call,6400,2.95,2.6550000000000002,3.0975,1.0
call,6500,2.3,2.1849999999999996,2.53,1.0
call,6600,1.79,1.7005000000000001,1.8795,1.0
call,6700,1.39,1.3205,1.5984999999999998,1.0
call,6800,1.08,1.026,1.1340000000000001,1.0
call,6900,0.83,0.7885,0.8714999999999999,1.0
call,7000,0.65,0.6175,0.6825,1.0
call,7100,0.5,0.45,0.525,1.0
call,7200,0.38,0.361,0.399,1.0
call,7300,0.3,0.285,0.315,1.0
call,7400,0.23,0.2185,0.24150000000000002,1.0
