contractSymbol,strike,lastPrice,bid,ask,volume
call,200.0,3900.0,3898.0,3901.0,1.0
call,400.0,3700.0,3699.0,3703.0,1.0
call,600.0,3500.0,3499.0,3502.0,1.0
call,800.0,3300.0,3299.0,3301.0,1.0
call,1000.0,3100.0,3099.0,3102.0,1.0
call,1200.0,2900.0,2899.0,2903.0,1.0
call,1400.0,2700.0,2698.0,2702.0,1.0
call,1500.0,2600.0,2599.0,2601.0,1.0
call,1600.0,2500.01,2499.01,2501.01,1.0
call,1700.0,2400.02,2399.02,2401.02,1.0
call,1800.0,2300.04,2299.04,2301.04,1.0
call,1900.0,2200.09,2199.09,2201.09,1.0
call,2000.0,2100.18,2099.18,2102.18,1.0
call,2100.0,2000.34,1999.34,2001.34,1.0
call,2200.0,1900.64,1899.64,1901.64,1.0
call,2300.0,1801.13,1800.13,1802.13,1.0
call,2350.0,1751.48,1750.48,1752.48,1.0
call,2400.0,1701.92,1700.92,1702.92,1.0
call,2450.0,1652.48,1651.48,1654.48,1.0
call,2500.0,1603.16,1602.16,1604.16,1.0
call,2550.0,1554.0,1553.0,1555.0,1.0
call,2600.0,1505.02,1504.02,1506.02,1.0
call,2650.0,1456.25,1454.25,1457.25,1.0
call,2700.0,1407.72,1405.72,1409.72,1.0
call,2725.0,1383.56,1382.56,1384.56,1.0
call,2750.0,1359.47,1358.47,1360.47,1.0
call,2775.0,1335.47,1334.47,1337.47,1.0
call,2800.0,1311.54,1309.54,1312.54,1.0
call,2825.0,1287.71,1286.71,1288.71,1.0
call,2850.0,1263.97,1261.97,1264.97,1.0
call,2875.0,1240.33,1238.33,1243.33,1.0
call,2900.0,1216.8,1215.8,1218.8,1.0
call,2925.0,1193.38,1192.38,1194.38,1.0
call,2950.0,1170.08,1169.08,1171.08,1.0
call,2975.0,1146.9,1145.9,1147.9,1.0
call,3000.0,1123.85,1121.85,1124.85,1.0
call,3025.0,1100.94,1099.94,1101.94,1.0
call,3050.0,1078.17,1077.17,1079.17,1.0
call,3075.0,1055.55,1054.55,1056.55,1.0
call,3090.0,1042.05,1041.05,1043.05,1.0
call,3100.0,1033.09,1032.09,1034.09,1.0
call,3110.0,1024.15,1023.1500000000001,1025.15,1.0
call,3120.0,1015.23,1014.23,1016.23,1.0
call,3125.0,1010.79,1009.79,1011.79,1.0
call,3130.0,1006.35,1005.35,1007.35,1.0
call,3140.0,997.48,996.48,998.48,1.0
