contractSymbol,strike,lastPrice,bid,ask,volume
call,2000,2100.0,2098.0,2102.0,1.0
call,2100,2000.0,1998.0,2001.0,1.0
call,2200,1900.0,1899.0,1901.0,1.0
call,2300,1800.0,1799.0,1801.0,1.0
call,2400,1700.0,1699.0,1701.0,1.0
call,2500,1600.0,1599.0,1601.0,1.0
call,2600,1500.0,1499.0,1501.0,1.0
call,2700,1400.0,1399.0,1402.0,1.0
call,2800,1300.0,1298.0,1302.0,1.0
call,2900,1200.0,1199.0,1201.0,1.0
call,3000,1100.0,1099.0,1101.0,1.0
call,3050,1050.0,1049.0,1051.0,1.0
call,3100,1000.01,999.01,1001.01,1.0
call,3150,950.01,949.01,951.01,1.0
call,3200,900.02,899.02,901.02,1.0
call,3250,850.04,848.04,852.04,1.0
call,3300,800.08,799.08,801.08,1.0
call,3350,750.15,748.15,753.15,1.0
call,3400,700.27,698.27,701.27,1.0
call,3450,650.47,647.47,651.47,1.0
call,3500,600.82,598.82,601.82,1.0
call,3550,551.38,550.38,552.38,1.0
call,3600,502.27,500.27,503.27,1.0
call,3650,453.65,452.65,456.65,1.0
call,3700,405.72,404.72,406.72,1.0
call,3750,358.79,357.79,359.79,1.0
call,3800,313.17,312.17,314.17,1.0
call,3850,269.31,267.31,270.31,1.0
call,3900,227.65,225.65,229.65,1.0
call,3950,188.72,187.72,190.72,1.0
call,4000,153.01,152.01,154.01,1.0
call,4005,149.64,148.64,150.64,1.0
call,4010,146.3,144.3,147.3,1.0
call,4015,143.0,142.0,144.0,1.0
call,4020,139.73,138.73,140.73,1.0
call,4025,136.51,135.51,137.51,1.0
call,4030,133.33,132.33,134.33,1.0
call,4035,130.18,129.18,131.18,1.0
call,4040,127.07,126.07,128.07,1.0
call,4045,124.01,123.01,127.01,1.0
call,4050,120.98,118.98,121.98,1.0
call,4055,117.99,116.99,118.99,1.0
call,4060,115.05,114.05,116.05,1.0
call,4065,112.15,111.15,113.15,1.0
call,4070,109.28,108.28,110.28,1.0
call,4075,106.46,105.46,107.46,1.0
call,4080,103.68,102.68,104.68,1.0
call,4085,100.94,99.94,104.94,1.0
call,4090,98.25,97.25,99.25,1.0
call,4095,95.6,94.6,96.6,1.0
call,4100,92.98,91.98,93.98,1.0
call,4105,90.42,89.42,91.42,1.0
call,4110,87.89,86.89,88.89,1.0
call,4115,85.41,84.41,86.41,1.0
call,4120,82.97,81.97,83.97,1.0
call,4125,80.57,79.57,81.57,1.0
call,4130,78.22,77.22,79.22,1.0
call,4135,75.91,74.91,76.91,1.0
call,4140,73.64,72.64,74.64,1.0
call,4145,71.42,70.42,73.42,1.0
call,4150,69.24,68.24,70.24,1.0
call,4155,67.1,66.1,68.1,1.0
call,4160,65.0,64.0,66.0,1.0
call,4165,62.95,61.95,63.95,1.0
call,4170,60.94,59.94,61.94,1.0
call,4175,58.97,57.97,59.97,1.0
call,4180,57.05,56.05,58.05,1.0
call,4185,55.16,54.16,57.16,1.0
call,4190,53.32,52.32,54.32,1.0
call,4195,51.52,50.52,53.52,1.0
call,4200,49.76,48.76,50.76,1.0
call,4250,34.39,33.39,35.39,1.0
call,4300,22.77,21.77,23.77,1.0
call,4350,14.38,13.38,17.380000000000003,1.0
call,4400,8.64,7.640000000000001,9.64,1.0
call,4450,4.91,4.6645,5.1555,1.0
call,4500,2.64,2.508,2.7720000000000002,1.0
call,4550,1.34,1.2730000000000001,1.407,1.0
call,4600,0.64,0.608,0.704,1.0
call,4650,0.29,0.27549999999999997,0.31899999999999995,1.0
call,4700,0.12,0.11399999999999999,0.126,1.0
call,4750,0.05,0.0475,0.052500000000000005,1.0
call,4800,0.02,0.019,0.021,1.0
call,4850,0.01,0.009000000000000001,0.0105,1.0
call,4900,0.0,0.0,0.0,1.0
call,4950,0.0,0.0,0.0,1.0
call,5000,0.0,0.0,0.0,1.0
call,5100,0.0,0.0,0.0,1.0
call,5200,0.0,0.0,0.0,1.0
call,5300,0.0,0.0,0.0,1.0
call,5400,0.0,0.0,0.0,1.0
call,5500,0.0,0.0,0.0,1.0
call,5600,0.0,0.0,0.0,1.0
call,5700,0.0,0.0,0.0,1.0
call,5800,0.0,0.0,0.0,1.0
call,5900,0.0,0.0,0.0,1.0
call,6000,0.0,0.0,0.0,1.0
call,6100,0.0,0.0,0.0,1.0
call,6200,0.0,0.0,0.0,1.0
call,6300,0.0,0.0,0.0,1.0
call,6400,0.0,0.0,0.0,1.0
call,6500,-0.0,0.0,-0.0,1.0
call,6600,0.0,0.0,0.0,1.0
call,6700,-0.0,0.0,-0.0,1.0
call,6800,0.0,0.0,0.0,1.0
call,6900,-0.0,0.0,-0.0,1.0
call,7000,0.0,0.0,0.0,1.0
call,7100,-0.0,0.0,-0.0,1.0
call,7200,0.0,0.0,0.0,1.0
call,7300,-0.0,0.0,-0.0,1.0
call,7400,0.0,0.0,0.0,1.0
