contractSymbol,strike,lastPrice,bid,ask,volume
call,200.0,3900.0,3899.0,3902.0,1.0
call,400.0,3700.0,3698.0,3701.0,1.0
call,600.0,3500.0,3499.0,3501.0,1.0
call,800.0,3300.0,3299.0,3301.0,1.0
call,1000.0,3100.0,3099.0,3101.0,1.0
call,1200.0,2900.0,2897.0,2902.0,1.0
call,1400.0,2700.0,2699.0,2701.0,1.0
call,1500.0,2600.0,2597.0,2601.0,1.0
call,1600.0,2500.0,2499.0,2501.0,1.0
call,1700.0,2400.0,2399.0,2401.0,1.0
call,1800.0,2300.0,2299.0,2302.0,1.0
call,1900.0,2200.0,2199.0,2201.0,1.0
call,2000.0,2100.0,2099.0,2102.0,1.0
call,2100.0,2000.0,1999.0,2001.0,1.0
call,2200.0,1900.0,1899.0,1901.0,1.0
call,2300.0,1800.0,1799.0,1801.0,1.0
call,2350.0,1750.0,1749.0,1751.0,1.0
call,2400.0,1700.0,1697.0,1701.0,1.0
call,2450.0,1650.0,1648.0,1651.0,1.0
call,2500.0,1600.0,1599.0,1601.0,1.0
call,2550.0,1550.0,1549.0,1551.0,1.0
call,2600.0,1500.0,1498.0,1501.0,1.0
call,2650.0,1450.0,1449.0,1451.0,1.0
call,2700.0,1400.0,1399.0,1401.0,1.0
call,2725.0,1375.0,1374.0,1376.0,1.0
call,2750.0,1350.0,1349.0,1351.0,1.0
call,2775.0,1325.0,1322.0,1328.0,1.0
call,2800.0,1300.0,1299.0,1301.0,1.0
call,2825.0,1275.0,1274.0,1276.0,1.0
call,2850.0,1250.0,1249.0,1251.0,1.0
call,2875.0,1225.0,1224.0,1226.0,1.0
call,2900.0,1200.0,1199.0,1203.0,1.0
call,2925.0,1175.0,1174.0,1176.0,1.0
call,2950.0,1150.0,1148.0,1151.0,1.0
call,2975.0,1125.0,1123.0,1126.0,1.0
call,3000.0,1100.0,1099.0,1101.0,1.0
call,3025.0,1075.0,1072.0,1077.0,1.0
call,3050.0,1050.0,1049.0,1052.0,1.0
call,3075.0,1025.0,1024.0,1026.0,1.0
call,3090.0,1010.0,1007.0,1011.0,1.0
call,3100.0,1000.01,999.01,1001.01,1.0
call,3110.0,990.01,989.01,991.01,1.0
call,3120.0,980.01,978.01,982.01,1.0
call,3125.0,975.01,974.01,976.01,1.0
call,3130.0,970.01,969.01,972.01,1.0
call,3140.0,960.01,959.01,962.01,1.0
call,3150.0,950.01,949.01,951.01,1.0
call,3160.0,940.01,938.01,941.01,1.0
call,3170.0,930.01,928.01,931.01,1.0
call,3175.0,925.02,924.02,926.02,1.0
call,3180.0,920.02,919.02,921.02,1.0
call,3190.0,910.02,909.02,911.02,1.0
call,3200.0,900.02,899.02,902.02,1.0
call,3210.0,890.02,887.02,891.02,1.0
call,3220.0,880.03,878.03,881.03,1.0
call,3225.0,875.03,874.03,876.03,1.0
call,3230.0,870.03,869.03,871.03,1.0
call,3240.0,860.04,859.04,862.04,1.0
call,3250.0,850.04,849.04,851.04,1.0
call,3260.0,840.05,839.05,841.05,1.0
call,3270.0,830.05,829.05,831.05,1.0
call,3275.0,825.06,824.06,826.06,1.0
call,3280.0,820.06,819.06,821.06,1.0
call,3290.0,810.07,809.07,812.07,1.0
call,3300.0,800.08,798.08,802.08,1.0
call,3310.0,790.09,789.09,791.09,1.0
call,3320.0,780.1,777.1,781.1,1.0
call,3325.0,775.11,774.11,776.11,1.0
call,3330.0,770.12,769.12,771.12,1.0
call,3340.0,760.13,759.13,761.13,1.0
call,3350.0,750.15,749.15,752.15,1.0
call,3360.0,740.17,738.17,742.17,1.0
call,3370.0,730.19,729.19,731.19,1.0
call,3375.0,725.2,724.2,726.2,1.0
call,3380.0,720.21,718.21,722.21,1.0
call,3390.0,710.24,709.24,711.24,1.0
call,3395.0,705.25,703.25,706.25,1.0
call,3400.0,700.27,698.27,703.27,1.0
call,3405.0,695.29,694.29,696.29,1.0
call,3410.0,690.3,689.3,691.3,1.0
call,3415.0,685.32,684.32,686.32,1.0
call,3420.0,680.34,678.34,682.34,1.0
call,3425.0,675.36,674.36,677.36,1.0
call,3430.0,670.38,669.38,671.38,1.0
call,3435.0,665.4,664.4,667.4,1.0
call,3440.0,660.42,659.42,661.42,1.0
call,3445.0,655.45,654.45,656.45,1.0
call,3450.0,650.47,649.47,651.47,1.0
call,3455.0,645.5,644.5,646.5,1.0
call,3460.0,640.53,639.53,641.53,1.0
call,3465.0,635.56,633.56,636.56,1.0
call,3470.0,630.59,629.59,631.59,1.0
call,3475.0,625.63,624.63,626.63,1.0
call,3480.0,620.66,619.66,621.66,1.0
call,3485.0,615.7,614.7,616.7,1.0
call,3490.0,610.74,609.74,611.74,1.0
call,3495.0,605.78,603.78,606.78,1.0
call,3500.0,600.82,599.82,601.82,1.0
call,3505.0,595.86,594.86,596.86,1.0
call,3510.0,590.91,589.91,591.91,1.0
call,3515.0,585.96,584.96,586.96,1.0
call,3520.0,581.01,580.01,582.01,1.0
call,3525.0,576.07,574.07,577.07,1.0
call,3530.0,571.12,570.12,572.12,1.0
call,3535.0,566.18,565.18,567.18,1.0
call,3540.0,561.24,559.24,562.24,1.0
call,3545.0,556.31,553.31,557.31,1.0
call,3550.0,551.38,550.38,552.38,1.0
call,3555.0,546.45,545.45,547.45,1.0
call,3560.0,541.53,540.53,542.53,1.0
