contractSymbol,strike,lastPrice,bid,ask,volume
put,2000,0.3,0.285,0.315,1.0
put,2100,0.58,0.5509999999999999,0.609,1.0
put,2200,1.05,0.9975,1.1025,1.0
put,2300,1.81,1.7195,1.9005,1.0
put,2400,3.01,2.8594999999999997,3.1605,1.0
put,2500,4.81,4.5695,5.0504999999999995,1.0
put,2600,7.44,6.44,9.440000000000001,1.0
put,2700,11.14,10.14,12.14,1.0
put,2800,16.2,15.2,17.2,1.0
put,2900,22.97,21.97,23.97,1.0
put,3000,31.78,30.78,33.78,1.0
put,3050,37.06,36.06,38.06,1.0
put,3100,43.0,41.0,44.0,1.0
put,3150,49.63,47.63,50.63,1.0
put,3200,57.0,55.0,58.0,1.0
put,3250,65.15,63.150000000000006,66.15,1.0
put,3300,74.14,73.14,75.14,1.0
put,3350,83.99,82.99,84.99,1.0
put,3400,94.76,93.76,95.76,1.0
put,3450,106.47,105.47,107.47,1.0
put,3500,119.16,118.16,120.16,1.0
put,3550,132.86,131.86,133.86,1.0
put,3600,147.6,146.6,148.6,1.0
put,3650,163.41,162.41,164.41,1.0
put,3700,180.3,178.3,181.3,1.0
put,3750,198.29,197.29,199.29,1.0
put,3800,217.4,216.4,219.4,1.0
put,3850,237.64,236.64,238.64,1.0
put,3900,259.01,257.01,260.01,1.0
put,3950,281.51,278.51,282.51,1.0
put,4000,305.14,304.14,307.14,1.0
put,4005,307.57,306.57,308.57,1.0
put,4010,310.0,309.0,311.0,1.0
put,4015,312.45,310.45,313.45,1.0
put,4020,314.91,313.91,315.91,1.0
put,4025,317.38,316.38,318.38,1.0
put,4030,319.86,318.86,321.86,1.0
put,4035,322.36,319.36,323.36,1.0
put,4040,324.86,323.86,325.86,1.0
put,4045,327.38,326.38,328.38,1.0
put,4050,329.9,328.9,331.9,1.0
put,4055,332.44,331.44,333.44,1.0
put,4060,334.99,333.99,335.99,1.0
put,4065,337.55,336.55,338.55,1.0
put,4070,340.12,339.12,341.12,1.0
put,4075,342.7,341.7,343.7,1.0
put,4080,345.3,344.3,347.3,1.0
put,4085,347.9,346.9,348.9,1.0
put,4090,350.52,349.52,351.52,1.0
put,4095,353.15,351.15,354.15,1.0
put,4100,355.78,353.78,357.78,1.0
put,4105,358.43,357.43,359.43,1.0
put,4110,361.09,360.09,362.09,1.0
put,4115,363.76,362.76,364.76,1.0
put,4120,366.45,365.45,367.45,1.0
put,4125,369.14,368.14,370.14,1.0
put,4130,371.84,370.84,372.84,1.0
put,4135,374.56,372.56,376.56,1.0
put,4140,377.29,375.29,378.29,1.0
put,4145,380.02,379.02,381.02,1.0
put,4150,382.77,381.77,383.77,1.0
put,4155,385.53,384.53,386.53,1.0
put,4160,388.3,387.3,391.3,1.0
put,4165,391.08,390.08,392.08,1.0
put,4170,393.87,392.87,394.87,1.0
put,4175,396.68,394.68,397.68,1.0
put,4180,399.49,398.49,400.49,1.0
put,4185,402.31,401.31,405.31,1.0
put,4190,405.15,404.15,407.15,1.0
put,4195,407.99,406.99,408.99,1.0
put,4200,410.85,409.85,413.85,1.0
put,4250,440.01,439.01,441.01,1.0
put,4300,470.22,469.22,471.22,1.0
put,4350,501.46,500.46,502.46,1.0
put,4400,533.71,532.71,536.71,1.0
put,4450,566.93,564.93,567.93,1.0
put,4500,601.11,600.11,602.11,1.0
put,4550,636.21,635.21,637.21,1.0
put,4600,672.19,671.19,673.19,1.0
put,4650,709.04,707.04,710.04,1.0
put,4700,746.7,744.7,749.7,1.0
put,4750,785.16,784.16,786.16,1.0
put,4800,824.37,822.37,825.37,1.0
put,4850,864.3,863.3,865.3,1.0
put,4900,904.93,903.93,905.93,1.0
put,4950,946.2,945.2,948.2,1.0
put,5000,988.09,987.09,989.09,1.0
put,5100,1073.61,1072.61,1074.61,1.0
put,5200,1161.22,1160.22,1162.22,1.0
put,5300,1250.67,1249.67,1251.67,1.0
put,5400,1341.75,1340.75,1342.75,1.0
put,5500,1434.25,1432.25,1435.25,1.0
put,5600,1527.97,1526.97,1528.97,1.0
put,5700,1622.74,1621.74,1623.74,1.0
put,5800,1718.41,1717.41,1719.41,1.0
put,5900,1814.84,1813.84,1815.84,1.0
put,6000,1911.91,1910.91,1912.91,1.0
put,6100,2009.52,2008.52,2012.52,1.0
put,6200,2107.58,2106.58,2108.58,1.0
put,6300,2206.01,2205.01,2207.01,1.0
put,6400,2304.75,2303.75,2305.75,1.0
put,6500,2403.73,2401.73,2404.73,1.0
put,6600,2502.93,2501.93,2503.93,1.0
put,6700,2602.29,2601.29,2603.29,1.0
put,6800,2701.78,2700.78,2703.78,1.0
put,6900,2801.38,2800.38,2802.38,1.0
put,7000,2901.06,2900.06,2902.06,1.0
put,7100,3000.82,2999.82,3001.82,1.0
put,7200,3100.63,3099.63,3101.63,1.0
put,7300,3200.48,3199.48,3201.48,1.0
put,7400,3300.37,3299.37,3302.37,1.0
