contractSymbol,strike,lastPrice,bid,ask,volume
put,200.0,-0.0,0.0,-0.0,1.0
put,400.0,-0.0,0.0,-0.0,1.0
put,600.0,0.0,0.0,0.0,1.0
put,800.0,0.0,0.0,0.0,1.0
put,1000.0,0.0,0.0,0.0,1.0
put,1200.0,0.0,0.0,0.0,1.0
put,1400.0,0.0,0.0,0.0,1.0
put,1500.0,0.0,0.0,0.0,1.0
put,1600.0,0.01,0.009000000000000001,0.0105,1.0
put,1700.0,0.03,0.028499999999999998,0.0345,1.0
put,1800.0,0.07,0.0665,0.08050000000000002,1.0
put,1900.0,0.15,0.1425,0.1575,1.0
put,2000.0,0.3,0.285,0.32999999999999996,1.0
put,2100.0,0.58,0.493,0.609,1.0
put,2200.0,1.05,0.9450000000000001,1.1025,1.0
put,2300.0,1.81,1.7195,1.991,1.0
put,2350.0,2.35,2.2325,2.4675000000000002,1.0
put,2400.0,3.01,2.8594999999999997,3.1605,1.0
put,2450.0,3.83,3.6385,4.0215,1.0
put,2500.0,4.81,4.5695,5.0504999999999995,1.0
put,2550.0,6.01,5.01,7.01,1.0
put,2600.0,7.44,6.44,8.440000000000001,1.0
put,2650.0,9.13,8.13,10.13,1.0
put,2700.0,11.14,10.14,12.14,1.0
put,2725.0,12.26,11.26,14.26,1.0
put,2750.0,13.48,12.48,14.48,1.0
put,2775.0,14.79,13.79,15.79,1.0
put,2800.0,16.2,15.2,17.2,1.0
put,2825.0,17.72,14.719999999999999,18.72,1.0
put,2850.0,19.35,17.35,20.35,1.0
put,2875.0,21.1,20.1,22.1,1.0
put,2900.0,22.97,21.97,23.97,1.0
put,2925.0,24.96,23.96,25.96,1.0
put,2950.0,27.09,26.09,28.09,1.0
put,2975.0,29.36,28.36,30.36,1.0
put,3000.0,31.78,30.78,32.78,1.0
put,3025.0,34.34,33.34,35.34,1.0
put,3050.0,37.06,36.06,38.06,1.0
put,3075.0,39.94,38.94,41.94,1.0
put,3090.0,41.76,40.76,44.76,1.0
put,3100.0,43.0,42.0,44.0,1.0
put,3110.0,44.27,43.27,45.27,1.0
put,3120.0,45.56,44.56,46.56,1.0
put,3125.0,46.22,45.22,47.22,1.0
put,3130.0,46.89,45.89,47.89,1.0
put,3140.0,48.24,47.24,49.24,1.0
put,3150.0,49.63,48.63,50.63,1.0
put,3160.0,51.04,47.04,52.04,1.0
put,3170.0,52.48,51.48,53.48,1.0
put,3175.0,53.22,52.22,54.22,1.0
put,3180.0,53.96,52.96,54.96,1.0
put,3190.0,55.46,54.46,56.46,1.0
put,3200.0,57.0,55.0,59.0,1.0
put,3210.0,58.57,57.57,59.57,1.0
put,3220.0,60.16,58.16,61.16,1.0
put,3225.0,60.98,59.98,61.98,1.0
put,3230.0,61.79,60.79,62.79,1.0
put,3240.0,63.46,62.46,64.46000000000001,1.0
put,3250.0,65.15,64.15,66.15,1.0
put,3260.0,66.88,65.88,69.88,1.0
put,3270.0,68.65,65.65,69.65,1.0
put,3275.0,69.54,67.54,70.54,1.0
put,3280.0,70.44,68.44,71.44,1.0
put,3290.0,72.27,71.27,73.27,1.0
put,3300.0,74.14,73.14,75.14,1.0
put,3310.0,76.04,75.04,78.04,1.0
put,3320.0,77.97,76.97,78.97,1.0
put,3325.0,78.96,77.96,79.96,1.0
put,3330.0,79.95,78.95,81.95,1.0
put,3340.0,81.95,80.95,82.95,1.0
put,3350.0,83.99,82.99,84.99,1.0
put,3360.0,86.07,85.07,87.07,1.0
put,3370.0,88.19,87.19,89.19,1.0
put,3375.0,89.26,88.26,90.26,1.0
put,3380.0,90.34,89.34,91.34,1.0
put,3390.0,92.53,90.53,93.53,1.0
put,3395.0,93.64,91.64,98.64,1.0
put,3400.0,94.76,93.76,95.76,1.0
put,3405.0,95.89,94.89,96.89,1.0
put,3410.0,97.02,96.02,98.02,1.0
put,3415.0,98.17,97.17,99.17,1.0
put,3420.0,99.33,97.33,100.33,1.0
put,3425.0,100.49,99.49,102.49,1.0
put,3430.0,101.67,100.67,102.67,1.0
put,3435.0,102.85,100.85,103.85,1.0
put,3440.0,104.05,103.05,105.05,1.0
put,3445.0,105.25,104.25,106.25,1.0
put,3450.0,106.47,105.47,107.47,1.0
put,3455.0,107.69,105.69,108.69,1.0
put,3460.0,108.93,107.93,109.93,1.0
put,3465.0,110.17,109.17,112.17,1.0
put,3470.0,111.43,110.43,112.43,1.0
put,3475.0,112.69,111.69,114.69,1.0
put,3480.0,113.96,112.96,114.96,1.0
put,3485.0,115.25,114.25,116.25,1.0
put,3490.0,116.54,114.54,117.54,1.0
put,3495.0,117.84,116.84,119.84,1.0
put,3500.0,119.16,118.16,120.16,1.0
put,3505.0,120.48,119.48,121.48,1.0
put,3510.0,121.82,120.82,123.82,1.0
put,3515.0,123.16,121.16,124.16,1.0
put,3520.0,124.52,123.52,125.52,1.0
put,3525.0,125.88,124.88,126.88,1.0
put,3530.0,127.26,125.26,128.26,1.0
put,3535.0,128.64,127.63999999999999,129.64,1.0
put,3540.0,130.04,129.04,131.04,1.0
put,3545.0,131.44,128.44,132.44,1.0
put,3550.0,132.86,131.86,133.86,1.0
put,3555.0,134.29,133.29,135.29,1.0
put,3560.0,135.73,134.73,136.73,1.0
put,3565.0,137.17,136.17,138.17,1.0
put,3570.0,138.63,137.63,139.63,1.0
put,3575.0,140.1,139.1,141.1,1.0
put,3580.0,141.58,140.58,143.58,1.0
put,3585.0,143.07,140.07,145.07,1.0
put,3590.0,144.57,142.57,146.57,1.0
put,3595.0,146.08,145.08,147.08,1.0
put,3600.0,147.6,146.6,148.6,1.0
put,3605.0,149.14,148.14,151.14,1.0
put,3610.0,150.68,146.68,151.68,1.0
put,3615.0,152.23,150.23,153.23,1.0
put,3620.0,153.8,152.8,154.8,1.0
put,3625.0,155.37,154.37,156.37,1.0
put,3630.0,156.96,155.96,157.96,1.0
put,3635.0,158.55,157.55,159.55,1.0
put,3640.0,160.16,158.16,162.16,1.0
put,3645.0,161.78,160.78,163.78,1.0
put,3650.0,163.41,162.41,164.41,1.0
put,3655.0,165.05,164.05,166.05,1.0
put,3660.0,166.7,163.7,167.7,1.0
put,3665.0,168.36,166.36,169.36,1.0
put,3670.0,170.03,169.03,171.03,1.0
put,3675.0,171.72,170.72,172.72,1.0
put,3680.0,173.41,172.41,174.41,1.0
put,3685.0,175.12,174.12,176.12,1.0
put,3690.0,176.83,175.83,177.83,1.0
put,3695.0,178.56,177.56,180.56,1.0
put,3700.0,180.3,179.3,181.3,1.0
put,3705.0,182.05,181.05,183.05,1.0
put,3710.0,183.81,182.81,184.81,1.0
put,3715.0,185.58,183.58,186.58,1.0
put,3720.0,187.36,186.36,188.36,1.0
put,3725.0,189.16,188.16,191.16,1.0
put,3730.0,190.96,188.96,191.96,1.0
put,3735.0,192.78,191.78,193.78,1.0
put,3740.0,194.61,193.61,196.61,1.0
put,3745.0,196.44,194.44,197.44,1.0
put,3750.0,198.29,196.29,199.29,1.0
put,3755.0,200.15,199.15,201.15,1.0
put,3760.0,202.03,201.03,203.03,1.0
put,3765.0,203.91,202.91,204.91,1.0
put,3770.0,205.8,204.8,206.8,1.0
put,3775.0,207.71,206.71,208.71,1.0
put,3780.0,209.62,208.62,210.62,1.0
put,3785.0,211.55,210.55,212.55,1.0
put,3790.0,213.49,212.49,215.49,1.0
put,3795.0,215.44,214.44,216.44,1.0
put,3800.0,217.4,216.4,218.4,1.0
