contractSymbol,strike,lastPrice,bid,ask,volume
put,200.0,-0.0,0.0,-0.0,1.0
put,400.0,0.0,0.0,0.0,1.0
put,600.0,0.0,0.0,0.0,1.0
put,800.0,0.0,0.0,0.0,1.0
put,1000.0,0.0,0.0,0.0,1.0
put,1200.0,0.0,0.0,0.0,1.0
put,1400.0,0.0,0.0,0.0,1.0
put,1500.0,0.01,0.0095,0.0105,1.0
put,1600.0,0.02,0.018000000000000002,0.022,1.0
put,1700.0,0.05,0.0425,0.052500000000000005,1.0
put,1800.0,0.1,0.095,0.10500000000000001,1.0
put,1900.0,0.2,0.19,0.21000000000000002,1.0
put,2000.0,0.38,0.361,0.399,1.0
put,2100.0,0.69,0.6555,0.7244999999999999,1.0
put,2200.0,1.21,1.1495,1.2705,1.0
put,2300.0,2.03,1.9284999999999999,2.1315,1.0
put,2350.0,2.6,2.47,2.73,1.0
put,2400.0,3.29,3.1255,3.619,1.0
put,2450.0,4.13,3.9234999999999998,4.3365,1.0
put,2500.0,5.15,4.15,6.15,1.0
put,2550.0,6.38,4.38,7.38,1.0
put,2600.0,7.83,6.83,8.83,1.0
put,2650.0,9.55,8.55,10.55,1.0
put,2700.0,11.57,9.57,13.57,1.0
put,2725.0,12.7,11.7,14.7,1.0
put,2750.0,13.92,10.92,14.92,1.0
put,2775.0,15.23,14.23,16.23,1.0
put,2800.0,16.65,15.649999999999999,17.65,1.0
put,2825.0,18.16,17.16,19.16,1.0
put,2850.0,19.79,18.79,20.79,1.0
put,2875.0,21.53,19.53,22.53,1.0
put,2900.0,23.39,22.39,24.39,1.0
put,2925.0,25.37,24.37,27.37,1.0
put,2950.0,27.49,26.49,28.49,1.0
put,2975.0,29.74,28.74,30.74,1.0
put,3000.0,32.14,31.14,34.14,1.0
put,3025.0,34.68,33.68,35.68,1.0
put,3050.0,37.38,36.38,38.38,1.0
put,3075.0,40.23,39.23,41.23,1.0
put,3090.0,42.03,41.03,43.03,1.0
put,3100.0,43.26,42.26,44.26,1.0
put,3110.0,44.51,43.51,45.51,1.0
put,3120.0,45.8,44.8,47.8,1.0
put,3125.0,46.45,45.45,48.45,1.0
put,3130.0,47.11,46.11,48.11,1.0
put,3140.0,48.45,46.45,49.45,1.0
put,3150.0,49.82,46.82,51.82,1.0
put,3160.0,51.22,50.22,52.22,1.0
put,3170.0,52.65,51.65,53.65,1.0
put,3175.0,53.37,51.37,54.37,1.0
put,3180.0,54.11,53.11,55.11,1.0
put,3190.0,55.6,54.6,56.6,1.0
put,3200.0,57.12,56.12,59.12,1.0
put,3210.0,58.67,57.67,59.67,1.0
put,3220.0,60.25,58.25,61.25,1.0
put,3225.0,61.05,60.05,62.05,1.0
put,3230.0,61.86,60.86,62.86,1.0
put,3240.0,63.51,62.51,64.50999999999999,1.0
put,3250.0,65.19,64.19,66.19,1.0
put,3260.0,66.9,64.9,67.9,1.0
put,3270.0,68.64,67.64,70.64,1.0
put,3275.0,69.53,68.53,70.53,1.0
put,3280.0,70.42,69.42,71.42,1.0
put,3290.0,72.23,71.23,73.23,1.0
put,3300.0,74.08,73.08,75.08,1.0
put,3310.0,75.96,73.96,76.96,1.0
put,3320.0,77.87,76.87,79.87,1.0
put,3325.0,78.84,75.84,79.84,1.0
put,3330.0,79.82,78.82,80.82,1.0
put,3340.0,81.81,80.81,82.81,1.0
put,3350.0,83.83,81.83,84.83,1.0
put,3360.0,85.89,84.89,87.89,1.0
put,3370.0,87.98,86.98,88.98,1.0
put,3375.0,89.04,87.04,91.04,1.0
put,3380.0,90.11,89.11,93.11,1.0
put,3390.0,92.28,91.28,93.28,1.0
put,3395.0,93.38,92.38,94.38,1.0
put,3400.0,94.48,93.48,95.48,1.0
put,3405.0,95.6,94.6,96.6,1.0
put,3410.0,96.73,95.73,98.73,1.0
put,3415.0,97.86,96.86,99.86,1.0
put,3420.0,99.01,98.01,101.01,1.0
put,3425.0,100.16,98.16,102.16,1.0
put,3430.0,101.33,100.33,102.33,1.0
put,3435.0,102.5,101.5,103.5,1.0
put,3440.0,103.68,102.68,104.68,1.0
put,3445.0,104.88,103.88,106.88,1.0
put,3450.0,106.08,105.08,108.08,1.0
put,3455.0,107.29,106.29,108.29,1.0
put,3460.0,108.52,106.52,110.52,1.0
put,3465.0,109.75,107.75,111.75,1.0
put,3470.0,110.99,108.99,111.99,1.0
put,3475.0,112.24,111.24,113.24,1.0
put,3480.0,113.51,112.51,114.51,1.0
put,3485.0,114.78,112.78,115.78,1.0
put,3490.0,116.06,115.06,118.06,1.0
put,3495.0,117.35,116.35,119.35,1.0
put,3500.0,118.66,117.66,119.66,1.0
put,3505.0,119.97,118.97,120.97,1.0
put,3510.0,121.29,120.29,122.29,1.0
put,3515.0,122.62,121.62,123.62,1.0
put,3520.0,123.97,122.97,124.97,1.0
put,3525.0,125.32,124.32,126.32,1.0
put,3530.0,126.68,125.68,127.68,1.0
put,3535.0,128.06,126.06,129.06,1.0
put,3540.0,129.44,128.44,130.44,1.0
put,3545.0,130.84,129.84,132.84,1.0
put,3550.0,132.24,131.24,133.24,1.0
put,3555.0,133.66,132.66,134.66,1.0
put,3560.0,135.08,134.08,136.08,1.0
put,3565.0,136.52,135.52,137.52,1.0
put,3570.0,137.96,136.96,138.96,1.0
put,3575.0,139.42,138.42,140.42,1.0
put,3580.0,140.89,138.89,141.89,1.0
put,3585.0,142.37,141.37,143.37,1.0
put,3590.0,143.86,142.86,145.86,1.0
put,3595.0,145.36,144.36,146.36,1.0
put,3600.0,146.87,145.87,147.87,1.0
put,3605.0,148.39,145.39,149.39,1.0
put,3610.0,149.92,148.92,153.92,1.0
put,3615.0,151.46,150.46,152.46,1.0
put,3620.0,153.01,151.01,154.01,1.0
put,3625.0,154.58,152.58,155.58,1.0
put,3630.0,156.15,155.15,157.15,1.0
put,3635.0,157.74,156.74,160.74,1.0
put,3640.0,159.33,158.33,161.33,1.0
put,3645.0,160.94,157.94,161.94,1.0
put,3650.0,162.56,161.56,164.56,1.0
put,3655.0,164.19,163.19,165.19,1.0
put,3660.0,165.83,164.83,166.83,1.0
put,3665.0,167.48,164.48,168.48,1.0
put,3670.0,169.14,168.14,170.14,1.0
put,3675.0,170.81,169.81,171.81,1.0
put,3680.0,172.49,170.49,174.49,1.0
put,3685.0,174.19,172.19,175.19,1.0
put,3690.0,175.89,174.89,176.89,1.0
put,3695.0,177.61,176.61,179.61,1.0
put,3700.0,179.34,178.34,180.34,1.0
put,3705.0,181.08,180.08,182.08,1.0
put,3710.0,182.83,181.83,183.83,1.0
put,3715.0,184.59,183.59,185.59,1.0
put,3720.0,186.36,185.36,187.36,1.0
put,3725.0,188.14,186.14,189.14,1.0
put,3730.0,189.94,188.94,190.94,1.0
put,3735.0,191.74,190.74,192.74,1.0
put,3740.0,193.56,192.56,195.56,1.0
put,3745.0,195.39,194.39,196.39,1.0
put,3750.0,197.23,196.23,198.23,1.0
put,3755.0,199.08,198.08,200.08,1.0
put,3760.0,200.94,199.94,202.94,1.0
put,3765.0,202.81,201.81,203.81,1.0
put,3770.0,204.7,203.7,205.7,1.0
put,3775.0,206.59,205.59,209.59,1.0
put,3780.0,208.5,207.5,210.5,1.0
put,3785.0,210.42,209.42,211.42,1.0
put,3790.0,212.35,211.35,213.35,1.0
put,3795.0,214.29,213.29,215.29,1.0
put,3800.0,216.24,215.24,217.24,1.0
