contractSymbol,strike,lastPrice,bid,ask,volume
put,2000,0.18,0.17099999999999999,0.189,1.0
put,2100,0.34,0.323,0.35700000000000004,1.0
put,2200,0.64,0.608,0.672,1.0
put,2300,1.13,1.017,1.1864999999999999,1.0
put,2400,1.92,1.728,2.016,1.0
put,2500,3.16,3.0020000000000002,3.318,1.0
put,2600,5.02,4.02,6.02,1.0
put,2700,7.72,6.72,8.719999999999999,1.0
put,2800,11.54,9.54,12.54,1.0
put,2900,16.8,15.8,17.8,1.0
put,3000,23.85,21.85,24.85,1.0
put,3050,28.17,26.17,29.17,1.0
put,3100,33.09,32.09,34.09,1.0
put,3150,38.65,37.65,41.65,1.0
put,3200,44.92,43.92,45.92,1.0
put,3250,51.93,50.93,54.93,1.0
put,3300,59.75,58.75,60.75,1.0
put,3350,68.43,67.43,70.43,1.0
put,3400,78.02,76.02,79.02,1.0
put,3450,88.55,87.55,89.55,1.0
put,3500,100.09,95.09,101.09,1.0
put,3550,112.66,111.66,113.66,1.0
put,3600,126.32,124.32,127.32,1.0
put,3650,141.08,140.08,142.08,1.0
put,3700,156.99,155.99,157.99,1.0
put,3750,174.08,173.08,175.08,1.0
put,3800,192.35,191.35,193.35,1.0
put,3850,211.84,210.84,212.84,1.0
put,3900,232.55,231.55,233.55,1.0
put,3950,254.5,252.5,257.5,1.0
put,4000,277.67,275.67,278.67,1.0
put,4005,280.06,278.06,281.06,1.0
put,4010,282.45,281.45,283.45,1.0
put,4015,284.86,282.86,285.86,1.0
put,4020,287.29,286.29,288.29,1.0
put,4025,289.72,288.72,290.72,1.0
put,4030,292.17,290.17,293.17,1.0
put,4035,294.63,293.63,295.63,1.0
put,4040,297.1,296.1,298.1,1.0
put,4045,299.58,298.58,300.58,1.0
put,4050,302.08,301.08,304.08,1.0
put,4055,304.59,303.59,306.59,1.0
put,4060,307.11,306.11,309.11,1.0
put,4065,309.64,308.64,310.64,1.0
put,4070,312.18,311.18,313.18,1.0
put,4075,314.74,313.74,315.74,1.0
put,4080,317.31,315.31,318.31,1.0
put,4085,319.89,318.89,320.89,1.0
put,4090,322.49,321.49,323.49,1.0
put,4095,325.09,324.09,326.09,1.0
put,4100,327.71,326.71,328.71,1.0
put,4105,330.34,329.34,332.34,1.0
put,4110,332.98,331.98,333.98,1.0
put,4115,335.64,334.64,336.64,1.0
put,4120,338.3,337.3,339.3,1.0
put,4125,340.98,339.98,341.98,1.0
put,4130,343.67,342.67,344.67,1.0
put,4135,346.38,345.38,347.38,1.0
put,4140,349.09,348.09,350.09,1.0
put,4145,351.82,350.82,352.82,1.0
put,4150,354.56,353.56,355.56,1.0
put,4155,357.31,356.31,358.31,1.0
put,4160,360.07,359.07,361.07,1.0
put,4165,362.84,360.84,365.84,1.0
put,4170,365.63,363.63,366.63,1.0
put,4175,368.43,367.43,369.43,1.0
put,4180,371.24,370.24,373.24,1.0
put,4185,374.06,373.06,375.06,1.0
put,4190,376.9,375.9,377.9,1.0
put,4195,379.74,378.74,381.74,1.0
put,4200,382.6,381.6,383.6,1.0
put,4250,411.82,410.82,412.82,1.0
put,4300,442.2,441.2,443.2,1.0
put,4350,473.71,472.71,474.71,1.0
put,4400,506.31,505.31,507.31,1.0
put,4450,539.98,538.98,540.98,1.0
put,4500,574.69,573.69,575.69,1.0
put,4550,610.38,609.38,612.38,1.0
put,4600,647.04,646.04,648.04,1.0
put,4650,684.6,683.6,685.6,1.0
put,4700,723.05,722.05,726.05,1.0
put,4750,762.32,761.32,763.32,1.0
put,4800,802.39,801.39,803.39,1.0
put,4850,843.21,842.21,844.21,1.0
put,4900,884.74,883.74,885.74,1.0
put,4950,926.94,925.94,927.94,1.0
put,5000,969.76,968.76,970.76,1.0
put,5100,1057.13,1056.13,1059.13,1.0
put,5200,1146.57,1145.57,1147.57,1.0
put,5300,1237.77,1236.77,1239.77,1.0
put,5400,1330.5,1329.5,1331.5,1.0
put,5500,1424.53,1421.53,1425.53,1.0
put,5600,1519.64,1517.64,1520.64,1.0
put,5700,1615.67,1613.67,1616.67,1.0
put,5800,1712.46,1709.46,1713.46,1.0
put,5900,1809.87,1808.87,1810.87,1.0
put,6000,1907.79,1906.79,1909.79,1.0
put,6100,2006.14,2005.14,2007.14,1.0
put,6200,2104.82,2103.82,2105.82,1.0
put,6300,2203.77,2202.77,2204.77,1.0
put,6400,2302.95,2301.95,2304.95,1.0
put,6500,2402.3,2401.3,2403.3,1.0
put,6600,2501.79,2499.79,2502.79,1.0
put,6700,2601.39,2598.39,2602.39,1.0
put,6800,2701.08,2700.08,2702.08,1.0
put,6900,2800.83,2799.83,2801.83,1.0
put,7000,2900.65,2899.65,2903.65,1.0
put,7100,3000.5,2999.5,3001.5,1.0
put,7200,3100.38,3099.38,3101.38,1.0
put,7300,3200.3,3199.3,3201.3,1.0
put,7400,3300.23,3299.23,3302.23,1.0
