contractSymbol,strike,lastPrice,bid,ask,volume
put,200.0,-0.0,0.0,-0.0,1.0
put,400.0,0.0,0.0,0.0,1.0
put,600.0,0.0,0.0,0.0,1.0
put,800.0,0.0,0.0,0.0,1.0
put,1000.0,0.0,0.0,0.0,1.0
put,1200.0,0.0,0.0,0.0,1.0
put,1400.0,0.0,0.0,0.0,1.0
put,1500.0,0.0,0.0,0.0,1.0
put,1600.0,0.01,0.0095,0.0105,1.0
put,1700.0,0.02,0.019,0.021,1.0
put,1800.0,0.04,0.038,0.042,1.0
put,1900.0,0.09,0.081,0.0945,1.0
put,2000.0,0.18,0.17099999999999999,0.189,1.0
put,2100.0,0.34,0.323,0.35700000000000004,1.0
put,2200.0,0.64,0.608,0.704,1.0
put,2300.0,1.13,1.0735,1.1864999999999999,1.0
put,2350.0,1.48,1.258,1.628,1.0
put,2400.0,1.92,1.728,2.016,1.0
put,2450.0,2.48,2.356,2.604,1.0
put,2500.0,3.16,3.0020000000000002,3.476,1.0
put,2550.0,4.0,3.6,4.2,1.0
put,2600.0,5.02,3.0199999999999996,6.02,1.0
put,2650.0,6.25,4.25,7.25,1.0
put,2700.0,7.72,6.72,8.719999999999999,1.0
put,2725.0,8.56,7.5600000000000005,9.56,1.0
put,2750.0,9.47,8.47,10.47,1.0
put,2775.0,10.47,8.47,11.47,1.0
put,2800.0,11.54,10.54,12.54,1.0
put,2825.0,12.71,11.71,14.71,1.0
put,2850.0,13.97,12.97,15.97,1.0
put,2875.0,15.33,14.33,16.33,1.0
put,2900.0,16.8,15.8,17.8,1.0
put,2925.0,18.38,17.38,19.38,1.0
put,2950.0,20.08,17.08,21.08,1.0
put,2975.0,21.9,20.9,23.9,1.0
put,3000.0,23.85,22.85,24.85,1.0
put,3025.0,25.94,24.94,26.94,1.0
put,3050.0,28.17,26.17,29.17,1.0
put,3075.0,30.55,28.55,31.55,1.0
put,3090.0,32.05,29.049999999999997,34.05,1.0
put,3100.0,33.09,32.09,34.09,1.0
put,3110.0,34.15,33.15,35.15,1.0
put,3120.0,35.23,34.23,36.23,1.0
put,3125.0,35.79,34.79,36.79,1.0
put,3130.0,36.35,34.35,37.35,1.0
put,3140.0,37.48,36.48,38.48,1.0
put,3150.0,38.65,36.65,39.65,1.0
put,3160.0,39.85,38.85,40.85,1.0
put,3170.0,41.07,39.07,42.07,1.0
put,3175.0,41.69,40.69,42.69,1.0
put,3180.0,42.32,40.32,43.32,1.0
put,3190.0,43.6,42.6,44.6,1.0
put,3200.0,44.92,43.92,45.92,1.0
put,3210.0,46.26,45.26,47.26,1.0
put,3220.0,47.63,46.63,48.63,1.0
put,3225.0,48.33,47.33,49.33,1.0
put,3230.0,49.03,47.03,50.03,1.0
put,3240.0,50.47,49.47,52.47,1.0
put,3250.0,51.93,49.93,52.93,1.0
put,3260.0,53.43,52.43,55.43,1.0
put,3270.0,54.96,52.96,55.96,1.0
put,3275.0,55.74,54.74,56.74,1.0
put,3280.0,56.53,55.53,57.53,1.0
put,3290.0,58.12,57.12,61.12,1.0
put,3300.0,59.75,58.75,60.75,1.0
put,3310.0,61.42,60.42,62.42,1.0
put,3320.0,63.12,62.12,64.12,1.0
put,3325.0,63.98,62.98,64.97999999999999,1.0
put,3330.0,64.86,62.86,65.86,1.0
put,3340.0,66.63,65.63,67.63,1.0
put,3350.0,68.43,67.43,70.43,1.0
put,3360.0,70.28,69.28,71.28,1.0
put,3370.0,72.16,70.16,73.16,1.0
put,3375.0,73.11,72.11,74.11,1.0
put,3380.0,74.07,72.07,75.07,1.0
put,3390.0,76.03,75.03,78.03,1.0
put,3395.0,77.02,76.02,80.02,1.0
put,3400.0,78.02,77.02,79.02,1.0
put,3405.0,79.03,78.03,80.03,1.0
put,3410.0,80.05,78.05,81.05,1.0
put,3415.0,81.08,80.08,82.08,1.0
put,3420.0,82.11,79.11,84.11,1.0
put,3425.0,83.16,82.16,84.16,1.0
put,3430.0,84.22,82.22,85.22,1.0
put,3435.0,85.29,83.29,86.29,1.0
put,3440.0,86.37,85.37,87.37,1.0
put,3445.0,87.46,86.46,88.46,1.0
put,3450.0,88.55,87.55,89.55,1.0
put,3455.0,89.66,88.66,90.66,1.0
put,3460.0,90.78,88.78,91.78,1.0
put,3465.0,91.91,90.91,92.91,1.0
put,3470.0,93.04,92.04,94.04,1.0
put,3475.0,94.19,93.19,95.19,1.0
put,3480.0,95.35,94.35,96.35,1.0
put,3485.0,96.52,95.52,99.52,1.0
put,3490.0,97.7,96.7,98.7,1.0
put,3495.0,98.89,97.89,99.89,1.0
put,3500.0,100.09,99.09,101.09,1.0
put,3505.0,101.3,100.3,102.3,1.0
put,3510.0,102.52,101.52,103.52,1.0
put,3515.0,103.75,101.75,106.75,1.0
put,3520.0,104.99,103.99,106.99,1.0
put,3525.0,106.24,105.24,107.24,1.0
put,3530.0,107.51,106.51,108.51,1.0
put,3535.0,108.78,107.78,109.78,1.0
put,3540.0,110.06,109.06,111.06,1.0
put,3545.0,111.36,110.36,113.36,1.0
put,3550.0,112.66,111.66,113.66,1.0
put,3555.0,113.98,112.98,114.98,1.0
put,3560.0,115.31,114.31,116.31,1.0
put,3565.0,116.64,114.64,117.64,1.0
put,3570.0,117.99,116.99,118.99,1.0
put,3575.0,119.35,118.35,122.35,1.0
put,3580.0,120.72,119.72,122.72,1.0
put,3585.0,122.1,121.1,123.1,1.0
put,3590.0,123.5,122.5,125.5,1.0
put,3595.0,124.9,121.9,125.9,1.0
put,3600.0,126.32,125.32,128.32,1.0
put,3605.0,127.74,126.74,128.74,1.0
put,3610.0,129.18,127.18,130.18,1.0
put,3615.0,130.63,129.63,132.63,1.0
put,3620.0,132.09,131.09,133.09,1.0
put,3625.0,133.56,132.56,135.56,1.0
put,3630.0,135.04,134.04,136.04,1.0
put,3635.0,136.53,135.53,138.53,1.0
put,3640.0,138.04,137.04,139.04,1.0
put,3645.0,139.56,137.56,140.56,1.0
put,3650.0,141.08,140.08,142.08,1.0
put,3655.0,142.62,141.62,143.62,1.0
put,3660.0,144.17,143.17,145.17,1.0
put,3665.0,145.73,144.73,146.73,1.0
put,3670.0,147.31,146.31,148.31,1.0
put,3675.0,148.89,147.89,149.89,1.0
put,3680.0,150.49,148.49,151.49,1.0
put,3685.0,152.1,151.1,154.1,1.0
put,3690.0,153.72,152.72,154.72,1.0
put,3695.0,155.35,153.35,156.35,1.0
put,3700.0,156.99,153.99,157.99,1.0
put,3705.0,158.65,157.65,159.65,1.0
put,3710.0,160.32,159.32,161.32,1.0
put,3715.0,162.0,161.0,163.0,1.0
put,3720.0,163.69,162.69,164.69,1.0
put,3725.0,165.39,164.39,166.39,1.0
put,3730.0,167.1,166.1,168.1,1.0
put,3735.0,168.83,166.83,170.83,1.0
put,3740.0,170.57,168.57,171.57,1.0
put,3745.0,172.32,171.32,174.32,1.0
put,3750.0,174.08,173.08,175.08,1.0
put,3755.0,175.85,174.85,176.85,1.0
put,3760.0,177.64,176.64,178.64,1.0
put,3765.0,179.43,178.43,180.43,1.0
put,3770.0,181.24,180.24,182.24,1.0
put,3775.0,183.07,182.07,184.07,1.0
put,3780.0,184.9,183.9,185.9,1.0
put,3785.0,186.75,185.75,187.75,1.0
put,3790.0,188.6,187.6,189.6,1.0
put,3795.0,190.47,189.47,192.47,1.0
put,3800.0,192.35,190.35,193.35,1.0
put,3805.0,194.25,190.25,196.25,1.0
