contractSymbol,strike,lastPrice,bid,ask,volume
put,2000,-0.0,0.0,-0.0,1.0
put,2100,0.0,0.0,0.0,1.0
put,2200,-0.0,0.0,-0.0,1.0
put,2300,0.0,0.0,0.0,1.0
put,2400,0.0,0.0,0.0,1.0
put,2500,0.0,0.0,0.0,1.0
put,2600,0.0,0.0,0.0,1.0
put,2700,0.0,0.0,0.0,1.0
put,2800,0.0,0.0,0.0,1.0
put,2900,0.0,0.0,0.0,1.0
put,3000,0.0,0.0,0.0,1.0
put,3050,0.0,0.0,0.0,1.0
put,3100,0.01,0.0095,0.0105,1.0
put,3150,0.01,0.0095,0.0105,1.0
put,3200,0.02,0.019,0.021,1.0
put,3250,0.04,0.036000000000000004,0.042,1.0
put,3300,0.08,0.076,0.084,1.0
put,3350,0.15,0.1425,0.1575,1.0
put,3400,0.27,0.2565,0.28350000000000003,1.0
put,3450,0.47,0.44649999999999995,0.517,1.0
put,3500,0.82,0.738,0.861,1.0
put,3550,1.38,1.311,1.4489999999999998,1.0
put,3600,2.27,2.1565,2.3835,1.0
put,3650,3.65,3.285,3.8325,1.0
put,3700,5.72,4.72,6.72,1.0
put,3750,8.79,7.789999999999999,10.79,1.0
put,3800,13.17,12.17,15.17,1.0
put,3850,19.31,18.31,21.31,1.0
put,3900,27.65,26.65,28.65,1.0
put,3950,38.72,37.72,39.72,1.0
put,4000,53.01,52.01,54.01,1.0
put,4005,54.64,53.64,55.64,1.0
put,4010,56.3,55.3,57.3,1.0
put,4015,58.0,56.0,59.0,1.0
put,4020,59.73,56.73,62.73,1.0
put,4025,61.51,60.51,62.51,1.0
put,4030,63.33,61.33,64.33,1.0
put,4035,65.18,64.18,66.18,1.0
put,4040,67.07,65.07,68.07,1.0
put,4045,69.01,67.01,70.01,1.0
put,4050,70.98,69.98,71.98,1.0
put,4055,72.99,70.99,73.99,1.0
put,4060,75.05,74.05,76.05,1.0
put,4065,77.15,76.15,78.15,1.0
put,4070,79.28,78.28,82.28,1.0
put,4075,81.46,80.46,82.46,1.0
put,4080,83.68,82.68,85.68,1.0
put,4085,85.94,84.94,87.94,1.0
put,4090,88.25,87.25,90.25,1.0
put,4095,90.6,89.6,92.6,1.0
put,4100,92.98,91.98,93.98,1.0
put,4105,95.42,94.42,96.42,1.0
put,4110,97.89,96.89,99.89,1.0
put,4115,100.41,99.41,101.41,1.0
put,4120,102.97,101.97,104.97,1.0
put,4125,105.57,104.57,106.57,1.0
put,4130,108.22,107.22,109.22,1.0
put,4135,110.91,109.91,111.91,1.0
put,4140,113.64,112.64,114.64,1.0
put,4145,116.42,115.42,117.42,1.0
put,4150,119.24,118.24,120.24,1.0
put,4155,122.1,121.1,124.1,1.0
put,4160,125.0,124.0,126.0,1.0
put,4165,127.95,126.95,128.95,1.0
put,4170,130.94,129.94,132.94,1.0
put,4175,133.97,131.97,134.97,1.0
put,4180,137.05,136.05,138.05,1.0
put,4185,140.16,139.16,141.16,1.0
put,4190,143.32,142.32,144.32,1.0
put,4195,146.52,145.52,147.52,1.0
put,4200,149.76,148.76,151.76,1.0
put,4250,184.39,183.39,185.39,1.0
put,4300,222.77,221.77,224.77,1.0
put,4350,264.38,263.38,265.38,1.0
put,4400,308.64,307.64,309.64,1.0
put,4450,354.91,352.91,355.91,1.0
put,4500,402.64,401.64,403.64,1.0
put,4550,451.34,450.34,452.34,1.0
put,4600,500.64,499.64,501.64,1.0
put,4650,550.29,549.29,551.29,1.0
put,4700,600.12,597.12,601.12,1.0
put,4750,650.05,649.05,651.05,1.0
put,4800,700.02,699.02,701.02,1.0
put,4850,750.01,749.01,752.01,1.0
put,4900,800.0,799.0,801.0,1.0
put,4950,850.0,849.0,851.0,1.0
put,5000,900.0,899.0,901.0,1.0
put,5100,1000.0,999.0,1001.0,1.0
put,5200,1100.0,1099.0,1101.0,1.0
put,5300,1200.0,1199.0,1201.0,1.0
put,5400,1300.0,1299.0,1301.0,1.0
put,5500,1400.0,1399.0,1401.0,1.0
put,5600,1500.0,1499.0,1502.0,1.0
put,5700,1600.0,1599.0,1601.0,1.0
put,5800,1700.0,1698.0,1701.0,1.0
put,5900,1800.0,1799.0,1801.0,1.0
put,6000,1900.0,1899.0,1901.0,1.0
put,6100,2000.0,1999.0,2002.0,1.0
put,6200,2100.0,2099.0,2101.0,1.0
put,6300,2200.0,2199.0,2201.0,1.0
put,6400,2300.0,2298.0,2302.0,1.0
put,6500,2400.0,2398.0,2401.0,1.0
put,6600,2500.0,2499.0,2501.0,1.0
put,6700,2600.0,2599.0,2601.0,1.0
put,6800,2700.0,2697.0,2701.0,1.0
put,6900,2800.0,2799.0,2801.0,1.0
put,7000,2900.0,2898.0,2901.0,1.0
put,7100,3000.0,2999.0,3001.0,1.0
put,7200,3100.0,3099.0,3101.0,1.0
put,7300,3200.0,3199.0,3203.0,1.0
put,7400,3300.0,3299.0,3301.0,1.0
