contractSymbol,strike,lastPrice,bid,ask,volume
put,200.0,0.0,0.0,0.0,1.0
put,400.0,0.0,0.0,0.0,1.0
put,600.0,0.0,0.0,0.0,1.0
put,800.0,0.0,0.0,0.0,1.0
put,1000.0,0.0,0.0,0.0,1.0
put,1200.0,-0.0,0.0,-0.0,1.0
put,1400.0,0.0,0.0,0.0,1.0
put,1500.0,-0.0,0.0,-0.0,1.0
put,1600.0,-0.0,0.0,-0.0,1.0
put,1700.0,0.0,0.0,0.0,1.0
put,1800.0,0.0,0.0,0.0,1.0
put,1900.0,-0.0,0.0,-0.0,1.0
put,2000.0,-0.0,0.0,-0.0,1.0
put,2100.0,0.0,0.0,0.0,1.0
put,2200.0,-0.0,0.0,-0.0,1.0
put,2300.0,0.0,0.0,0.0,1.0
put,2350.0,-0.0,0.0,-0.0,1.0
put,2400.0,0.0,0.0,0.0,1.0
put,2450.0,0.0,0.0,0.0,1.0
put,2500.0,0.0,0.0,0.0,1.0
put,2550.0,0.0,0.0,0.0,1.0
put,2600.0,0.0,0.0,0.0,1.0
put,2650.0,0.0,0.0,0.0,1.0
put,2700.0,0.0,0.0,0.0,1.0
put,2725.0,0.0,0.0,0.0,1.0
put,2750.0,0.0,0.0,0.0,1.0
put,2775.0,0.0,0.0,0.0,1.0
put,2800.0,0.0,0.0,0.0,1.0
put,2825.0,0.0,0.0,0.0,1.0
put,2850.0,0.0,0.0,0.0,1.0
put,2875.0,0.0,0.0,0.0,1.0
put,2900.0,0.0,0.0,0.0,1.0
put,2925.0,0.0,0.0,0.0,1.0
put,2950.0,0.0,0.0,0.0,1.0
put,2975.0,0.0,0.0,0.0,1.0
put,3000.0,0.0,0.0,0.0,1.0
put,3025.0,0.0,0.0,0.0,1.0
put,3050.0,0.0,0.0,0.0,1.0
put,3075.0,0.0,0.0,0.0,1.0
put,3090.0,0.0,0.0,0.0,1.0
put,3100.0,0.01,0.0095,0.0105,1.0
put,3110.0,0.01,0.0095,0.0105,1.0
put,3120.0,0.01,0.0095,0.0105,1.0
put,3125.0,0.01,0.0095,0.0105,1.0
put,3130.0,0.01,0.0095,0.0105,1.0
put,3140.0,0.01,0.0095,0.0105,1.0
put,3150.0,0.01,0.0095,0.0105,1.0
put,3160.0,0.01,0.0095,0.011,1.0
put,3170.0,0.01,0.0095,0.011,1.0
put,3175.0,0.02,0.019,0.021,1.0
put,3180.0,0.02,0.019,0.021,1.0
put,3190.0,0.02,0.019,0.021,1.0
put,3200.0,0.02,0.019,0.021,1.0
put,3210.0,0.02,0.017,0.024,1.0
put,3220.0,0.03,0.028499999999999998,0.0315,1.0
put,3225.0,0.03,0.027,0.0315,1.0
put,3230.0,0.03,0.027,0.0345,1.0
put,3240.0,0.04,0.038,0.044,1.0
put,3250.0,0.04,0.038,0.042,1.0
put,3260.0,0.05,0.0475,0.052500000000000005,1.0
put,3270.0,0.05,0.0475,0.052500000000000005,1.0
put,3275.0,0.06,0.054,0.066,1.0
put,3280.0,0.06,0.056999999999999995,0.063,1.0
put,3290.0,0.07,0.0665,0.07700000000000001,1.0
put,3300.0,0.08,0.076,0.088,1.0
put,3310.0,0.09,0.08549999999999999,0.0945,1.0
put,3320.0,0.1,0.095,0.10500000000000001,1.0
put,3325.0,0.11,0.1045,0.121,1.0
put,3330.0,0.12,0.11399999999999999,0.126,1.0
put,3340.0,0.13,0.1235,0.1365,1.0
put,3350.0,0.15,0.135,0.1575,1.0
put,3360.0,0.17,0.1615,0.17850000000000002,1.0
put,3370.0,0.19,0.1805,0.1995,1.0
put,3375.0,0.2,0.19,0.22000000000000003,1.0
put,3380.0,0.21,0.19949999999999998,0.2205,1.0
put,3390.0,0.24,0.22799999999999998,0.252,1.0
put,3395.0,0.25,0.2375,0.275,1.0
put,3400.0,0.27,0.2565,0.28350000000000003,1.0
put,3405.0,0.29,0.261,0.3045,1.0
put,3410.0,0.3,0.285,0.315,1.0
put,3415.0,0.32,0.304,0.336,1.0
put,3420.0,0.34,0.323,0.35700000000000004,1.0
put,3425.0,0.36,0.34199999999999997,0.378,1.0
put,3430.0,0.38,0.361,0.41800000000000004,1.0
put,3435.0,0.4,0.38,0.42000000000000004,1.0
put,3440.0,0.42,0.39899999999999997,0.441,1.0
put,3445.0,0.45,0.4275,0.47250000000000003,1.0
put,3450.0,0.47,0.44649999999999995,0.4935,1.0
put,3455.0,0.5,0.475,0.55,1.0
put,3460.0,0.53,0.5035000000000001,0.5565,1.0
put,3465.0,0.56,0.532,0.5880000000000001,1.0
put,3470.0,0.59,0.5605,0.6194999999999999,1.0
put,3475.0,0.63,0.567,0.6615,1.0
put,3480.0,0.66,0.627,0.726,1.0
put,3485.0,0.7,0.6649999999999999,0.735,1.0
put,3490.0,0.74,0.703,0.777,1.0
put,3495.0,0.78,0.741,0.8190000000000001,1.0
put,3500.0,0.82,0.7789999999999999,0.861,1.0
put,3505.0,0.86,0.817,0.903,1.0
put,3510.0,0.91,0.7735000000000001,0.9555,1.0
put,3515.0,0.96,0.9119999999999999,1.008,1.0
put,3520.0,1.01,0.909,1.0605,1.0
put,3525.0,1.07,1.0165,1.1235000000000002,1.0
put,3530.0,1.12,1.064,1.1760000000000002,1.0
put,3535.0,1.18,1.121,1.2389999999999999,1.0
put,3540.0,1.24,1.178,1.302,1.0
put,3545.0,1.31,1.2445,1.3755000000000002,1.0
put,3550.0,1.38,1.311,1.5179999999999998,1.0
put,3555.0,1.45,1.3775,1.5225,1.0
put,3560.0,1.53,1.377,1.6065,1.0
put,3565.0,1.6,1.52,1.6800000000000002,1.0
put,3570.0,1.69,1.6055,1.7745,1.0
put,3575.0,1.77,1.6815,1.947,1.0
put,3580.0,1.86,1.7670000000000001,1.953,1.0
put,3585.0,1.96,1.666,2.058,1.0
put,3590.0,2.06,1.957,2.369,1.0
put,3595.0,2.16,1.9440000000000002,2.2680000000000002,1.0
put,3600.0,2.27,2.043,2.3835,1.0
put,3605.0,2.38,2.261,2.856,1.0
put,3610.0,2.5,2.25,2.875,1.0
put,3615.0,2.62,2.358,2.7510000000000003,1.0
put,3620.0,2.75,2.475,2.8875,1.0
put,3625.0,2.88,2.7359999999999998,3.024,1.0
put,3630.0,3.02,2.8689999999999998,3.1710000000000003,1.0
put,3635.0,3.17,3.0115,3.3285,1.0
put,3640.0,3.32,3.154,3.4859999999999998,1.0
put,3645.0,3.48,3.306,3.654,1.0
put,3650.0,3.65,3.4675,3.8325,1.0
put,3655.0,3.82,3.629,4.202,1.0
put,3660.0,4.0,3.8,4.2,1.0
put,3665.0,4.18,3.9709999999999996,4.388999999999999,1.0
put,3670.0,4.38,4.161,4.599,1.0
put,3675.0,4.58,4.351,5.038,1.0
put,3680.0,4.79,4.5505,5.269,1.0
put,3685.0,5.01,4.01,8.01,1.0
put,3690.0,5.24,4.24,6.24,1.0
put,3695.0,5.48,3.4800000000000004,6.48,1.0
put,3700.0,5.72,3.7199999999999998,7.72,1.0
put,3705.0,5.98,4.98,6.98,1.0
put,3710.0,6.25,3.25,7.25,1.0
put,3715.0,6.53,5.53,7.53,1.0
put,3720.0,6.81,5.81,7.81,1.0
put,3725.0,7.11,6.11,8.11,1.0
put,3730.0,7.42,6.42,8.42,1.0
put,3735.0,7.74,5.74,8.74,1.0
put,3740.0,8.08,7.08,9.08,1.0
put,3745.0,8.43,7.43,9.43,1.0
put,3750.0,8.79,7.789999999999999,9.79,1.0
